Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Kentucky,SEC,34,34–0,119,83.5,0.9834,51.8,39.7,16.4,21.8,40.4,31.6,43.8,31.6,51.5,39.1,35,27.4,28.1,31,63.5,13
2,Wisconsin,B10,34,31–3,126.4,92.1,0.9743,54.6,46.7,12.4,16.7,31.9,23.7,35.6,21.1,55.1,44,35.7,36,37,26.7,59.3,11.3
3,Virginia,ACC,32,29–3,113.2,83.3,0.9714,51.2,41.7,16.1,18.1,34,24.3,34.2,27.9,50.1,39.5,36.1,30.3,27.3,36.5,58.3,9.9
4,Duke,ACC,33,29–4,124.6,93.1,0.9663,56.9,47.4,16.8,18.7,37.4,30.1,40.2,24.9,56.3,47.1,38.6,32,34.5,27.7,66.8,10.6
5,Arizona,P12,34,31–3,115.5,86.5,0.9654,53.6,44.3,16.7,21.1,34.1,22.3,47.1,36.3,53.4,42,36,32.8,25.8,31.4,66.9,8.9
6,Villanova,BE,34,32–2,120.7,91.4,0.9608,55.3,45.5,16.6,21.7,32.7,31.1,42.4,30.3,53.1,45.2,38.9,30.8,43,32.5,64.8,11.2
7,Gonzaga,WCC,33,31–2,120.4,92.9,0.9518,58.4,43.6,16.3,17.6,33.9,28.6,39.1,31.6,57.1,41.4,40.8,32.3,32.1,30.5,65.1,7.9
8,Utah,P12,31,23–8,115.1,88.9,0.9515,55.6,42.7,17.8,18.3,31.3,28.1,42.8,34.5,52.8,40.9,40.2,31.6,37.8,28.3,61.5,3.7
9,North Carolina,ACC,35,24–11,118.4,91.7,0.9496,51.4,45.3,18.2,17.8,39.9,30.5,34.7,37.6,51.3,45.7,34.5,29.8,22.6,37.1,70.2,6.4
10,Oklahoma,B12,32,22–10,110,87.3,0.9348,49.4,43.7,17.7,20.2,30.9,31.5,32.7,28.9,48.4,42.4,34.3,30.9,33.6,33.7,68.1,4.2
11,Baylor,B12,32,23–9,115.8,92.8,0.9274,49.8,45.8,19.6,19.6,41.8,31.7,38.8,32.4,46,46.5,38.2,29.8,33.2,35.9,62.2,4.8
12,Notre Dame,ACC,34,29–5,124.4,99.8,0.926,58.6,48.1,14.4,17.4,28.1,31.6,37.1,23.3,58.4,47.4,39.2,32.9,38.6,32.6,64.1,8.4
13,Louisville,ACC,32,24–8,107.9,86.6,0.9258,47.8,43.4,17.8,21.8,35.1,30.9,38.8,34.7,48.9,43.3,30.4,29.3,32.6,31.4,66,5.7
14,Kansas,B12,34,26–8,113.3,91,0.9252,49.3,44.4,19.1,17.5,34.9,31.8,43,33.6,46.5,43.5,37.5,30.9,28.3,31.9,67.3,8.7
15,Wichita St.,MVC,31,27–4,114.1,91.7,0.9251,50.7,45.2,15.2,21.6,34.8,27,35.4,36.8,48.9,42.5,35.9,34.4,35.3,29.7,62.2,4.4
16,Michigan St.,B10,34,23–11,114.8,92.6,0.9223,53.8,45.7,17.9,17,34.6,26,31.9,37.7,51.6,44.1,38.6,32.3,34.7,35.3,64.1,3
17,Northern Iowa,MVC,33,30–3,114,92.2,0.9206,56.2,45.1,18,19.3,26.9,26.9,40.2,26.7,53.9,43.8,39.7,31.6,40,38.1,58.5,5.6
18,Ohio St.,B10,33,23–10,114.2,92.8,0.9152,54.5,46.6,17,22.1,34.1,31.4,34.8,27.4,53.9,45.8,37.2,31.8,32.1,37.9,66.6,2.4
19,Iowa St.,B12,33,25–8,118.1,96.7,0.9086,54.7,47.9,15.8,18.5,28.5,29.2,37.4,24.3,54.7,45.4,36.6,35.2,36.8,34.6,69.9,6.8
20,Iowa,B10,32,21–11,113.1,92.6,0.9085,47.8,45.1,17.4,19.3,35.8,30.5,39.6,29.2,46.9,43.1,33.2,32.4,30.7,36.5,64.6,2
21,Texas,B12,33,20–13,110.6,91.4,0.8999,49.4,42.2,20,14.2,38,29,36.9,34.2,48.6,37.8,33.9,34.8,34,30.9,62.9,0.8
22,Butler,BE,32,22–10,108.5,89.7,0.8998,49.1,46.9,17.4,19.3,35.5,24.9,40.5,33.3,47.2,47.3,35.8,30.6,29,33.9,64.1,3.4
23,Georgetown,BE,31,21–10,111.5,93.2,0.8872,50.9,46.6,19.2,20.6,34.3,31.3,44.1,43.9,50.4,42.7,34.7,35.9,31.6,35.1,64.7,3.6
24,Xavier,BE,34,21–13,115,96.2,0.8861,53,50.2,18,19.2,31.3,27.1,38.1,34.4,53.4,48.9,34.9,35,32.8,37.2,66,1.3
25,West Virginia,B12,32,23–9,110.5,92.9,0.8803,46.6,52.6,18.7,28.2,40.9,31.1,40.4,55.9,45.9,51.6,31.9,36.5,33.8,31.8,69.1,3.9
26,Providence,BE,33,22–11,111.8,94,0.8796,48.6,48.1,17.9,19.7,35.3,29.5,41.6,38.5,49.4,47,31,33.3,28.4,35.8,65.8,3.6
27,Florida,SEC,33,16–17,106.2,89.7,0.8745,49.6,46,19.6,21.6,31.7,29.1,31.4,37.8,50.3,44.6,32.4,32.8,38.2,31.5,62.7,-3
28,San Diego St.,MWC,33,25–8,102.5,86.9,0.8697,46.7,42.7,18.6,21.5,35.9,30.2,36.2,26.7,46.1,41.2,32.1,30.6,30.5,32.3,61.2,1.5
