Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
247,Lehigh,Pat,32,14–18,97.5,104,0.3229,48.8,48.1,18,16.8,26.1,32.4,32.7,31.1,46.5,46.7,35.9,34,31.6,33.2,66.2,-11.4
248,Hofstra,CAA,33,10–23,105.1,112.1,0.3222,48.4,51.9,18.8,15.3,35.5,30.9,45.1,41.2,47.2,49.4,33.4,37.7,38.3,35.1,65.5,-15.9
249,Illinois Chicago,Horz,29,4–25,101.8,108.8,0.3187,46.1,53.1,19,16.6,30.4,28.1,39.2,49.9,44.8,51.4,32.6,37.8,31.7,32,66.4,-18.2
250,Norfolk St.,MEAC,30,16–14,102.4,109.4,0.3184,50.1,49.5,20.1,19.3,36.7,33.6,38.7,44.7,49.6,48,34.3,34.5,28.9,38.1,64.6,-9.4
251,Sacramento St.,BSky,28,12–16,103.4,110.5,0.3169,50.9,52.7,17.6,18.1,29.9,31.1,35.1,48.5,48.8,53,37,34.9,30.8,32.3,64.3,-12
252,Saint Peter's,MAAC,31,14–17,97.1,103.9,0.3137,45.7,47.6,18.7,18.1,30.9,31.6,42.1,40.9,45,46.5,31.6,33.3,31.9,34.1,62.5,-10.9
253,Grand Canyon,WAC,26,12–14,104.2,111.5,0.313,48.8,49.7,18.7,14.2,28,29.2,52.2,40.5,47,48.1,34.4,35.7,38.7,28.7,67.2,-8.6
254,High Point,BSth,28,14–14,104.3,111.7,0.3127,52,53.6,18.3,18.3,30.2,33.4,32.1,33.9,49.9,54.1,38.1,35.2,29.3,36.6,64.5,-8.7
255,Dartmouth,Ivy,26,10–16,102.1,109.4,0.3111,49.2,51.8,18.8,19.6,31.6,27.2,36.3,49.9,45.7,49.6,38.1,37.4,30.3,34.8,64.2,-10.3
256,Penn,Ivy,28,8–20,98.6,105.7,0.3094,49.7,48.9,22.9,18.2,28.6,34.5,39.1,49.5,50.3,44.4,32.1,38.3,28.7,34.7,70.1,-12.8
