Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Virginia,ACC,32,29–3,122.6,88.7,0.9762,55.7,43.5,14.7,17.8,30,25.9,30.3,27.9,52.2,45.5,40.9,27.2,38.7,40.9,61,11.1
2,Gonzaga,WCC,33,30–3,124.1,91.6,0.9705,59.6,44.2,14.5,18.9,30.6,27.1,36,25.1,62.3,43.1,36.5,30.9,35.3,34.6,71.9,7.2
3,Duke,ACC,34,29–5,119.3,88.3,0.9694,53.4,44.6,17.7,19.8,36.1,29.7,34.6,24,58.3,44.9,30.2,29.3,37.6,34.7,74,11.2
4,Michigan,B10,34,28–6,115.3,86.2,0.9656,52.1,44.1,13.5,18.3,24.5,25.5,27,24.9,51.8,44.5,35,28.9,40.2,29.1,65.8,9.2
5,North Carolina,ACC,33,27–6,119.2,91.2,0.9559,52.9,48.3,17.1,18.5,34.6,23.2,30.9,28.9,51.9,47.5,36.5,32.9,35.9,42.5,76.3,10
6,Michigan St.,B10,34,28–6,120,92,0.9553,55.8,43.7,18.7,14.9,34.1,26.8,35,27.7,54.8,41.3,38.4,31.8,37.8,37,69.2,10.6
7,Texas Tech,B12,32,26–6,112.1,86.3,0.9527,53.7,42.8,18.2,23,28.6,28.6,33.5,37.6,52.9,41.3,36.8,30.1,35.5,39.7,67.6,7
8,Tennessee,SEC,33,28–5,122.9,95,0.9505,55.3,47.4,15.9,18.2,31.6,30.3,33.4,34.4,55.7,44.6,36.2,34.4,31.8,39.8,68.8,9.8
9,Kentucky,SEC,33,27–6,116.9,91.7,0.9423,53.3,47,18.5,18.4,36.6,25.8,42.5,27.1,52.7,43.6,36.4,35,29.8,38.3,67.2,8.8
10,Purdue,B10,32,23–9,121,95.6,0.9377,52.7,49.5,15.9,19.5,35,26.6,29.4,32.7,51.2,47.9,36.4,34.4,44.5,43,67,6.1
11,Houston,Amer,34,31–3,114.1,90.9,0.9315,52.1,42.4,16.8,18.2,34.7,26.2,31.9,37.6,50.8,43.1,35.9,27.6,42.9,41.1,67.4,7.9
12,Virginia Tech,ACC,32,24–8,118,94.3,0.9299,56.4,48.9,17.5,21.7,29.8,27.4,31.4,26.4,54.2,48,39.4,33.2,45,50.1,65,5
13,Auburn,SEC,34,25–9,119.4,95.9,0.9254,54.2,51.8,17.5,25.3,32.7,32.9,31,36.6,51.3,50.4,38.1,35.6,49.6,44.1,69.3,6.1
14,Iowa St.,B12,34,23–11,118.2,96.1,0.9149,54.9,48.5,16.2,18.8,28.5,30,30.3,23.6,55,47.1,36.5,33.8,39.6,39.3,69,4.3
15,Wisconsin,B10,33,23–10,108.9,88.8,0.9126,51.5,44.8,14.4,17.2,24,26.5,27.5,25.9,49.8,43.7,36.6,31.2,34.1,35.1,64.8,6.2
16,Kansas,B12,34,25–9,112.5,92.2,0.9079,52.3,47.8,18.7,18.5,29.7,28.3,32.9,27.7,52.2,45.9,35,33.6,35,41.4,71.4,8.3
17,LSU,SEC,32,26–6,118.3,97.1,0.9064,51.7,50.2,18.2,20.7,37.3,30.4,37.7,34.2,53.4,49.7,32.3,34.1,34.3,39.1,71.2,7.3
18,Louisville,ACC,33,20–13,112.9,92.7,0.9061,50.9,46.4,17.8,16.3,29.2,25.8,35.1,31.6,50.6,45.7,34.2,31.7,43.7,36.9,68.7,2.3
19,Kansas St.,B12,33,25–8,106.5,87.5,0.9053,49.5,48.1,17.4,22.9,28.1,25.6,30.7,30.5,49,49.1,33.6,31.2,38.2,42.8,64.7,6.6
20,Florida St.,ACC,34,27–7,111.3,92.1,0.8986,50.7,47.3,19.2,20.3,33.1,26.9,36.3,36.1,51,46.2,33.6,32.6,38.3,38.8,69.9,7.7
21,Mississippi St.,SEC,33,23–10,116.4,96.6,0.8948,54.6,50.1,19.3,19.7,34.9,29.8,32.3,31.7,53.3,48.5,37.8,35.3,39,36.2,68.7,4.6
22,Florida,SEC,34,19–15,109.8,91.4,0.8922,49.9,48.4,18,22.6,31.1,31.7,30.4,33.6,49.8,48.6,33.5,32,43.4,38,64.2,0.6
23,Maryland,B10,32,22–10,112.5,93.8,0.8892,51.9,46,19.8,14.3,33.9,24.7,32.9,26.6,51.3,44.7,35.3,32,37,39.4,67.6,4.2
24,VCU,A10,32,25–7,104,86.9,0.8867,50.6,43,20.1,23.5,31,30.6,36,37.2,53.7,43.8,30.7,27.6,41.1,33.4,69.7,1.4
25,Cincinnati,Amer,34,28–6,112.1,93.9,0.8847,49,48.1,16.1,20.9,37.6,29.4,38.1,30.5,47.3,44.7,35,35.1,33.1,42.8,64.9,5.9
26,Texas,B12,32,16–16,113.1,95.1,0.8807,50.7,49.6,16.5,19.1,28.9,30.1,29.8,30.2,50.4,46.5,34,36.6,43.2,36.3,66,-0.5
27,Buffalo,MAC,33,30–3,113.2,95.2,0.8802,53.4,47.2,15.6,20.4,31.6,26.7,32.2,31.5,55.8,48.8,33.6,29.7,43.9,36.1,75.3,5.7
28,Clemson,ACC,32,19–13,107.6,90.6,0.8775,51.2,47.4,19.8,19.8,27.6,24.1,32.7,30.8,52.2,44.2,32.9,34.8,36,39.4,67.4,0.14
29,UCF,Amer,31,23–8,111.1,93.9,0.8742,52.7,45.5,17.5,18.3,29.6,29.5,46.4,29.6,52.5,44.6,35.4,31.3,36.1,38.3,66.4,2.2
30,Wofford,SC,30,26–4,115.8,97.9,0.8737,57.8,50.2,16.2,19.3,32.3,24.6,27.7,31.8,54.3,50.9,41.6,32.7,43.5,40.2,67.1,4.2
31,Nevada,MWC,33,29–4,112.9,95.5,0.8723,54.1,47.6,14.4,19.2,26.5,24.7,40.7,27.6,55.1,46,35.1,33.4,42.8,40,70.7,4.1
32,Oklahoma,B12,32,19–13,108.9,92.8,0.8631,50.2,47.1,17.4,17.5,26.2,27.9,31.4,24.1,49.6,45,34.2,33.3,33.2,41,70.4,2.5
33,Saint Mary's,WCC,33,22–11,114.2,97.3,0.8629,54,48.6,16.3,16.4,31.3,23.2,29.7,29.4,52.5,49.1,37.8,31.8,35,31.4,64,-0.6
34,Marquette,BE,33,24–9,112.2,95.7,0.8624,54.1,45.9,19.5,16.6,29.1,26.2,35.9,35.7,50.5,44.8,39.3,31.9,41.7,35.7,70.4,2.8
35,Nebraska,B10,33,17–16,112.2,95.8,0.8604,49.1,47.6,14.5,19.7,28.1,32.4,32.8,29.6,48.3,46.4,33.5,33.3,37.8,33.3,68,-0.06
36,Mississippi,SEC,32,20–12,113.1,96.6,0.8597,53,50.6,18.2,21,30.4,29.5,31.7,33.2,52.6,47.8,35.8,37.2,39.5,34.9,69.6,1
37,Syracuse,ACC,33,20–13,109.4,93.5,0.8594,49.5,47.5,18.4,23.2,30.1,33.3,36.8,34.8,49.5,46.5,33,32.3,42.8,47.6,67.4,0.5
38,Villanova,BE,34,25–9,115.1,98.7,0.8547,53.4,49.9,17,18.1,30.8,27.3,35.3,28.6,53.9,49.7,35.3,33.5,53.5,39.3,65.1,3.7
39,TCU,B12,33,20–13,110.7,94.9,0.8543,52.3,48.4,19.5,18.8,31.3,28.9,31.6,28.6,52.1,50,35.2,30.5,37.3,35.9,70.1,1.1
40,N.C. State,ACC,33,22–11,112.1,96.5,0.8483,52.1,48.8,17.6,21.9,35.4,28.7,28.8,39.8,51.6,50.5,35.3,30.4,36.1,33.9,72.9,1.9
41,Utah St.,MWC,33,27–6,111.2,95.9,0.8459,54.3,46.2,17.9,17.2,31.7,22.2,36.7,34.1,54.7,42.1,35.7,34.8,38,40.1,69.3,2.2
42,Penn St.,B10,32,14–18,108.4,93.5,0.8458,47.5,49.9,18.1,19.6,31.9,26.3,32.3,34.1,47.2,48.4,32,35.4,36.5,33.3,68.8,-2.8
43,Iowa,B10,33,22–11,116.4,100.5,0.844,52.6,51.6,17.2,18.5,29.9,29,42.3,28.8,51.5,53.4,36.1,32.6,39,41.4,70.9,3.2
