Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Kansas,B12,33,29–4,120.5,91.3,0.9607,55.9,45.3,17.8,19.1,32.2,28.8,39,37.2,52.2,43.3,42.2,33,33.4,32.2,70.1,11.4
2,Villanova,BE,34,29–5,118.9,90.4,0.9591,54.3,46.3,16.4,20.4,28.6,28.7,34.3,31.4,56.4,43.9,34.4,33.5,43.8,37.5,67.3,9
3,Virginia,ACC,33,26–7,119.5,91.9,0.9532,54.4,48.7,15.3,19.7,30.6,25.9,32.4,33.7,51.9,46.5,40.5,34.9,28.1,37.3,61.6,8.7
4,Michigan St.,B10,34,29–5,121.4,94.8,0.9448,56,42.6,17.5,14.2,37.2,24.2,30,34,51.1,41.3,43.4,30.2,35.3,32.5,67.6,7.4
5,West Virginia,B12,34,26–8,115.4,90.2,0.9445,50.2,48.8,19.6,25.5,41.9,27.2,46.1,54.8,50.7,48.2,32.9,33.2,30.6,36.1,70.9,7.3
6,Kentucky,SEC,34,26–8,122.3,95.8,0.943,53.7,44.9,16.1,17.9,37.8,31.7,38.3,41.4,52.8,43,37,33,31.4,29.8,68,5
7,North Carolina,ACC,34,28–6,120.1,94.3,0.9419,52.1,47.4,15.4,18.6,39.8,29.9,32.2,29.7,53.9,43.7,31.4,36,26.7,35.6,72.3,8.5
8,Oklahoma,B12,32,25–7,117.6,92.8,0.9384,54.5,46.4,18,17.6,30.5,29.8,33.6,27.3,48.1,44,42.6,34,40.7,35,71.1,7.9
9,Purdue,B10,34,26–8,116.6,92.8,0.9326,53.7,44.3,17.5,13.8,35.3,23.3,35.1,27.7,52.9,43,36.8,31.3,35.5,33,68.8,4.5
10,Louisville,ACC,31,23–8,112.2,89.5,0.9307,51.9,44.7,17.1,21.6,38.5,29.2,31.8,40.5,51.9,42.8,34.7,32.1,29,35.3,67.2,4.3
11,Miami FL,ACC,32,25–7,118.8,95.4,0.9256,53.9,48,16,17.5,30.5,29.2,40,28.8,53.4,46.9,36.6,33.6,34.1,29.8,67.2,6.9
12,Xavier,BE,32,27–5,117.1,94.5,0.9216,51.5,47.9,17.5,19.4,35.7,26.3,42.9,34.4,50,48.4,36.2,31.5,34.7,40.4,72.6,7.7
13,Vanderbilt,SEC,32,19–13,114.6,92.8,0.9187,53.5,43.1,16.8,14.3,27.4,29.4,39.5,34.2,50.5,42.7,38.8,29.2,38.1,30.5,68.6,-0.38
14,Wichita St.,MVC,31,23–8,111.5,90.3,0.9187,49.6,44.5,14.8,23.2,31.9,23.6,37.8,45.4,49.8,41.8,32.9,32.7,38.5,37.1,66.8,0.28
