Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Kansas,B12,33,30–3,121.1,85.9,0.981,56.3,44.8,18.7,22.9,38,29,37.5,30.8,54.8,40.9,39.9,34,29.2,38.1,69.5,9.9
2,Memphis,CUSA,34,33–1,113.4,84,0.9692,53,42.5,17.2,23.3,37.8,29.3,38.6,32.7,53.3,41.6,35,29.8,36.7,28.7,70.7,9
3,UCLA,P10,33,30–3,116.4,87.2,0.9653,52.3,48,18.8,22.7,39.2,25.9,38,25.7,52.9,46.8,33.8,34.2,28.1,27.9,66.2,10.7
4,Wisconsin,B10,33,29–4,112.3,85.2,0.9599,50.6,43.1,19.4,22.2,36.2,28.5,39.3,25.4,49.2,41.3,35.9,31.1,31.1,32.8,63.5,8.2
5,Duke,ACC,32,27–5,117.3,89,0.9597,54.1,47.6,18.2,24.9,34.3,33.5,40.4,32,51.8,47.1,38.4,32.8,39.1,24.8,73.7,8.9
6,North Carolina,ACC,34,32–2,120.3,92,0.9562,52.4,48,19,21.2,42.4,28.7,39.1,25.5,51.2,47,37.8,33.2,22.2,34.8,75.1,11.9
7,Georgetown,BE,32,27–5,113.2,88.2,0.9467,56.2,41.9,20.9,20.2,33.1,33,34,35.8,55.6,40.3,38,29.9,40,34.6,63,7.7
8,Texas,B12,33,27–6,120.1,94.5,0.9402,51.4,46.1,14.1,18.5,36.1,33.7,32.6,29.7,48.7,43.6,37.7,33.2,34.3,38.9,64.8,8.4
9,Louisville,BE,32,24–8,110.4,87.7,0.9343,52,43.8,19.6,21.4,33.4,30.7,36.4,33.2,52.5,42.3,34.2,31,39.1,35.1,67.5,4.7
10,Tennessee,SEC,32,28–4,116.4,92.5,0.934,52.8,49.2,17.7,24.6,37,34.3,36.8,39.4,51.7,50.8,36.4,31,39.1,35.6,72.7,9.2
11,Stanford,P10,33,26–7,111.6,88.9,0.9316,49.8,44,18.9,18.1,39.2,28.8,40.4,34,48.2,41.6,36,33.5,27.1,27,65.2,6.7
12,Marquette,BE,32,23–9,113.1,90.2,0.9312,50.7,45.9,19,24.3,38,33.6,37.9,40.9,49.1,46.6,35.9,29.5,33.6,31.1,68.9,3.8
13,Clemson,ACC,32,23–9,113.7,90.8,0.9296,52,47.8,20.4,24.6,40.2,36.7,30.4,33.1,49.6,49.1,38,29.8,32.7,28.6,69.6,4.4
14,Xavier,A10,33,27–6,115.3,92.6,0.9262,55,46.8,20.3,20,36.5,29.5,41.7,31.5,52.8,44.6,39.2,33.5,37.1,37.8,65.8,4.7
15,Washington St.,P10,32,24–8,114.3,92,0.9241,54.4,47.7,17.2,22.2,28.1,30.1,39.8,28.8,52.9,46.3,38.1,33.7,34.4,32.5,60.1,4.9
16,Texas A&M,B12,33,23–10,112.6,91.5,0.916,51.9,44.6,19.1,17.3,35.1,28.2,42.7,26.8,51.2,41.8,35.6,33.9,30.2,30.7,64.2,3
17,Michigan St.,B10,33,25–8,114.1,92.8,0.9151,52.5,46.1,21.2,19.3,39.8,31.4,34.1,32.2,51.4,45.2,37.3,31.7,24.3,37.7,65.4,5.1
18,West Virginia,BE,33,23–10,113.2,92.5,0.9113,51.6,47.7,16.3,23.3,34.1,31.4,37.1,38.9,50.6,45.1,35.8,35.4,35,32.1,65.8,2.6
19,Drake,MVC,30,26–4,118.1,96.5,0.9111,52.8,49.8,18.1,24,36.6,32.9,34.3,23.7,50.9,49.2,36.6,33.8,45.5,39.3,64.2,5.2
20,Kansas St.,B12,30,19–11,112.9,92.5,0.9082,49.7,48,20.8,22.5,42.1,30.8,37.4,37.4,50.2,44.7,32.4,36.8,32.6,31.3,72.2,1
21,Indiana,B10,32,25–7,113.7,93.4,0.9058,52.4,46.9,20.2,19.9,36.1,28.9,42.7,30,52.6,44.8,34.6,33.8,34.8,35.7,68.6,4.7
22,Arizona,P10,32,18–14,115.2,95,0.9017,53.9,48.3,18.6,19.1,28,33.6,40.2,30.8,51.3,47.5,39.6,33.7,32.1,28,65.3,1.5
23,Notre Dame,BE,31,24–7,115.7,95.6,0.8999,52.8,46.9,18.2,17.6,36.6,31,34.8,22.8,48.4,44.7,41,34.1,33.5,33.3,70.7,4.4
24,Pittsburgh,BE,34,25–9,116.2,96,0.8997,51.1,48,18.4,21,39.7,34.1,36.7,29.1,51,47.3,34.3,32.8,30.3,34.7,65.2,5.2
25,Connecticut,BE,32,24–8,114.5,94.6,0.899,50.8,44,19.4,17.4,39.3,34.3,48.6,23.8,49.7,40.1,35.9,34.8,25.2,32.4,69.2,4.3
26,Gonzaga,WCC,32,25–7,112.2,92.8,0.8984,54.3,45.3,20.5,21.7,34.5,29.6,40.2,31.9,53.6,43.6,37.2,32.1,31.4,37.1,68.3,2.2
27,USC,P10,32,21–11,108.3,89.7,0.8966,53.5,44.5,22,20,31.2,34.4,38.2,27.4,51.9,43.9,38.4,30.4,28,34.9,67.6,3.6
28,Davidson,SC,31,25–6,111,92.2,0.8942,54.4,48.4,17.7,24.1,32.6,27.6,25.4,37.7,54.6,46.4,36.1,34.5,40,37.2,69,1.6
29,Purdue,B10,32,24–8,108.8,90.5,0.8924,49,48.9,19.4,26.6,32.8,31,37.6,42.4,45.3,47.2,37,35,36.1,31.4,68.2,3.8
30,Butler,Horz,32,29–3,114.4,95.5,0.8881,54.1,48,16.9,22.8,29.7,31.6,36.8,31.2,52,47.9,37.6,32.1,48.6,31.3,61.2,4.8
31,New Mexico,MWC,32,24–8,109.9,92.2,0.8825,54.1,47.6,18.1,24,31.1,27.3,40.3,40.5,48.9,45.3,42.5,34,35.2,40.2,66.2,0.2
32,Ohio St.,B10,32,19–13,107.3,90.8,0.8717,51.5,44.9,20.6,20.9,33.1,34.8,28,22.6,52.4,43.7,33.4,31,36.9,41.6,65.5,0.39
33,BYU,MWC,34,27–7,105.1,89.5,0.8636,53.3,42.8,19.7,19.1,30.8,26.2,37.6,30.3,51.5,42.5,37.4,29,38.7,29.6,70.4,2.6
34,Mississippi St.,SEC,32,22–10,106.5,90.7,0.8635,52.3,42.4,21.9,18.2,35.2,32.6,38.3,27.3,53.5,39.4,33.4,32,36.8,34.7,68.6,0.6
35,Arkansas,SEC,33,22–11,108.3,92.5,0.8595,51.7,47.4,22.1,21.7,37.6,31.4,37.1,36.5,52,46.4,33.9,32.8,30.2,34.8,68.9,0.6
36,Virginia Tech,ACC,32,19–13,103.3,88.5,0.8559,47.9,46.4,21.6,21.7,35,28.4,39.1,34.3,47.5,43.4,32.7,34.8,28.1,33.8,67.8,-0.6
37,Oklahoma,B12,33,22–11,108.1,92.5,0.8559,50.1,46.2,19.6,20.2,33.5,30,38.1,30.4,49,45.4,34.8,31.9,33.5,35,65.4,2.8
38,Saint Mary's,WCC,30,24–6,108.4,92.9,0.8548,52.7,44.7,18.9,20.9,36,31.3,39,30.6,52.1,44.1,35.8,31,37.9,26.1,68.2,1.3
39,Nebraska,B12,31,19–12,106.3,91.3,0.8516,51.2,47.2,20.7,24.1,32.1,30,38.1,32.2,51,42.1,34.3,36.8,31.6,39.2,63.2,-0.17
40,Baylor,B12,30,20–10,114.7,98.5,0.8514,52.1,48,17.2,19.5,31.8,32.6,36.1,39.9,49.7,46.3,37.6,34.7,36.4,29.9,71.7,1.5
41,Oregon,P10,31,18–13,117.9,101.5,0.8481,56.3,50.2,18.6,16.4,32.3,31.2,36.9,33.3,53.9,50.1,40.1,33.6,39,35.3,67.9,0.8
42,Miami FL,ACC,31,21–10,110.8,95.7,0.8441,49.2,46.9,19.1,20.7,35.4,34.2,39.4,35.3,45.9,44,37.8,35,31.1,33.6,67.5,1.6
43,Illinois,B10,35,16–19,105.9,91.4,0.8437,48.8,45.8,21.5,20.3,37,29.9,36.5,37.2,49.2,43.3,31.9,33.5,33,35.5,63.3,-4
44,Missouri,B12,32,16–16,111.2,96.2,0.8411,50.7,48.8,17.7,23.1,31.5,34.9,30.8,42.9,51,49.8,33.4,30.9,31.9,31.2,72.5,-2.7
45,Syracuse,BE,32,19–13,111.6,96.6,0.8406,52.9,49,21.8,19.8,38,32.2,42.3,30.4,53.8,46.6,33.7,35.3,27.4,38.5,72.1,-0.6
46,UNLV,MWC,32,25–7,108.4,94.1,0.8363,48.8,46.1,15.8,21.6,29.4,32.4,32.7,32.4,47.7,46.7,33.5,29.9,39.8,37.2,66.1,2.3
47,Saint Joseph's,A10,33,21–12,113.5,98.8,0.8313,54.6,50.3,19.3,21.6,32.5,34.1,40,32.6,52.8,47.2,38.5,36.9,35.8,37.7,65.5,-1.2
