Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Virginia,ACC,33,31–2,115.2,85,0.9706,52.9,43.7,14.1,21,27.4,25.7,24.8,26.2,50,42.4,39,30.3,34.8,40.5,60.4,11.3
2,Villanova,BE,34,30–4,127.7,95.4,0.9663,59.7,49.2,14.6,18.5,28.8,26.7,28.6,25.5,59.7,49.3,39.8,32.8,46.6,35.5,69.5,10.6
3,Duke,ACC,33,26–7,123.2,93.9,0.9576,56,46,17.7,16.9,39.1,29.2,34.9,22,55.6,44.8,37.8,32.1,35.5,36.7,71.4,6.6
4,Purdue,B10,34,28–6,123.6,94.4,0.9567,58.1,46.8,15.6,17.7,27.7,28.2,36.1,23.8,54.9,44.9,42,33.7,40.2,34.4,68.9,7.6
5,Cincinnati,Amer,34,30–4,111.1,86.5,0.9469,51.6,42.8,17.3,22.3,38.1,28.7,36.8,27.4,50.5,40.7,35.7,30.9,35.2,37.7,66.5,6
6,Michigan St.,B10,33,29–4,119.4,93.7,0.9419,57.8,42.6,19.2,14.5,36.1,26.8,36.3,29.2,55.5,38.4,41.3,33.3,35.8,35.8,68.2,8
7,Kansas,B12,34,27–7,121.7,95.7,0.9406,58.1,48.5,16.6,18.5,29.1,31.7,26.2,24.8,56.5,48.1,40.3,32.7,41.6,38.4,69.8,8.2
8,North Carolina,ACC,35,25–10,121.2,96.8,0.9299,52.3,50.1,16.8,16.2,38.4,26,28.6,25.8,51.1,45,36.4,38.3,34.9,40.9,72.5,7.1
9,West Virginia,B12,34,24–10,119.1,95.3,0.9281,50.3,49.6,16.5,23.3,36.6,30,31.2,44.1,48.5,45.6,35.3,37.4,38.9,38,71.2,4.6
10,Xavier,BE,33,28–5,121.4,97.3,0.9269,55.7,50,17,15.7,30,22.9,40.2,24.8,55.9,50,36.9,33.4,36,41.2,71.6,8.8
11,Gonzaga,WCC,34,30–4,118.3,95.2,0.9239,57.7,46.9,16,17.4,33,22.7,30.9,29.4,58.8,43.3,37.4,35.5,39.6,35.7,70.3,4.9
12,Ohio St.,B10,32,24–8,116.1,93.6,0.9228,54.4,48.3,17.3,18,30.3,24.9,31.5,29,55.1,46,35.3,34.6,33.2,39.6,67.8,4.5
13,Texas Tech,B12,33,24–9,112.9,91.1,0.9222,52.7,46.7,18.1,22,33.3,28.4,40.3,38.1,51.5,45.1,36.6,32.8,34.1,38.9,67.6,4.7
14,Tennessee,SEC,33,25–8,114.3,92.3,0.9215,50.7,46.8,18,20.6,33.6,31.5,36.5,38.3,47,46.1,38.4,31.9,35.6,36.3,67.3,6.4
15,Michigan,B10,34,27–7,114.3,92.5,0.9195,54.4,48.4,13.9,19.4,26,24.4,30.3,30.2,54.3,47,36.4,34.3,43.1,30.2,65.7,6.9
16,Florida,SEC,32,20–12,116,95.2,0.9071,51.1,48.9,14.3,20.1,28.8,30.8,33.1,31.7,47.5,46.6,37.5,35.7,40.2,33.6,68.3,1.4
17,Creighton,BE,31,20–11,117.3,97,0.8983,58,50,15.4,15.8,21.8,24.7,27.1,24.2,59.3,50.1,37.6,33.2,44.7,37.4,72.3,2.1
18,Butler,BE,33,20–13,115.4,95.5,0.8972,53.8,52,15.7,19.8,27.3,24.7,26.3,35.1,54.1,49.6,35.6,37.4,37.2,37.5,69.4,1.7
19,Auburn,SEC,32,25–7,117,97.1,0.8955,51.8,49.5,16.7,20.8,33,28.3,39.9,38.4,49.4,47.1,36.6,35.4,43.1,39.4,73.7,4.3
20,Houston,Amer,33,26–7,114.6,95.1,0.8953,53.9,45.8,17.8,19.4,34.7,25.8,32.2,41.1,51.4,43.8,38.7,32.7,37.7,37.7,69.4,2.5
21,Kentucky,SEC,34,24–10,115.1,95.7,0.8934,51.7,46.9,18.6,17.1,35.6,31.3,42.8,32.2,50.9,48.4,36.1,29.9,26.2,42.2,70,4.3
22,Penn St.,B10,34,21–13,112.5,93.7,0.8909,52.3,48.4,17.6,19.9,31.5,27.5,31.1,33,49.8,46.5,38.4,34.9,32.7,33,69.1,-0.46
23,Seton Hall,BE,32,21–11,116.5,97.4,0.8864,52.8,49.9,17.9,17.9,34.2,28.5,34.6,28.9,52,49.8,36.4,33.4,32.8,37.4,70.7,2.5
24,Clemson,ACC,32,23–9,111.6,93.7,0.882,52.7,47.6,17.9,17.7,27.4,26.7,34.1,27,51.2,44.3,36.6,35.5,40.6,37,67,4
25,TCU,B12,32,21–11,120.4,101.1,0.8814,56.9,52.7,17.7,17.6,34.5,25.9,34.1,30.7,55.2,50.4,40,37.9,35.2,35.9,70.1,2.2
26,Wichita St.,Amer,32,25–7,120.4,101.5,0.8763,55.3,49.3,16.4,16.4,35.2,22.7,35.1,33.1,53.8,45.8,38.5,36.3,39,40.4,70.2,3.4
27,Texas A&M,SEC,32,20–12,110.3,93.6,0.8692,51.1,46.4,19.2,15.9,34.3,28.3,32,29,52.1,45.1,32.7,32.4,33.2,37.6,70,1.9
28,Miami FL,ACC,31,22–9,112.6,95.5,0.8685,53,48.8,16.5,18.9,29,28.3,29.1,28.4,52.2,48.7,36.3,32.6,36.5,35.5,68.3,2.7
29,Missouri,SEC,31,19–12,113,96.3,0.8632,54.5,46.6,20.7,16,30.8,28.3,38.2,29.4,50.8,45.6,39.2,32.3,45.5,36.4,66.8,0.45
30,Arizona,P12,34,27–7,117.4,100.1,0.8623,56.6,49.3,17.6,16.7,33.2,25,37.6,31.8,56.6,47.4,37.7,35.2,32.2,35.2,68.5,3.8
31,Kansas St.,B12,33,22–11,112.3,95.8,0.8614,53.5,49.5,17.2,21.4,26.1,32.2,33.6,36.6,54.6,49.3,34.4,33.2,36.8,39.7,66.5,2.5
32,Texas,B12,33,19–14,108.6,92.7,0.8613,49.8,47.9,17.1,18.3,29.4,29.5,33.2,26.1,51.4,47.1,31.5,33,38.2,34.9,66.7,1.3
33,Maryland,B10,31,18–13,114,97.4,0.8594,54.3,47.5,20.4,16.3,31.4,28.2,37.9,24,53.9,45.6,36.8,33.8,36,38.2,67.5,-0.6
34,Louisville,ACC,33,20–13,111.7,95.7,0.8555,52,46.8,16.7,18.9,29,31.3,32,29.8,50.1,45.2,37,33.3,35.1,34.2,70.8,0.5
35,Oklahoma,B12,31,18–13,115.9,99.3,0.8552,53.8,51.2,17.3,17.1,27.9,30,33.1,25.6,53.4,49.5,36.3,36.1,40.9,37.2,77,1.1
36,Arkansas,SEC,34,23–11,117,100.3,0.8546,54.2,50.2,15.3,19.4,29.4,31.6,37.3,41.4,51.4,48,40,35.5,32.1,41.5,71.1,2.8
