Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Houston,Amer,34,31–3,117.1,88,0.9638,52.7,42.5,15.3,22,37.1,27.4,28.5,35.8,53.2,43.1,34.5,27.8,37.8,43.7,64,8
2,Alabama,SEC,34,29–5,115.4,88.3,0.9559,52.7,41.5,19,15.9,33.8,27.5,36.7,32.8,54.6,41.2,33.8,28.1,47.8,30.6,73.5,10.2
3,UCLA,P12,34,29–5,113.2,87.4,0.9514,50.9,46.8,15.3,23.6,33.7,27.6,27.1,27.6,50.4,46.8,34.7,31.1,29.1,39.3,67,8.4
4,Tennessee,SEC,33,23–10,111.1,86.2,0.9488,50.3,42.4,18.1,22.2,36.8,26.9,30.9,34.9,51,44.6,32.9,26.2,40.4,41.6,66.3,2.8
5,Connecticut,BE,33,25–8,118.9,92.5,0.9475,53.5,45.5,18.9,19.4,39.2,26.2,31.4,38.7,53.4,45.8,35.7,30,42,30.3,67.7,5
6,Purdue,B10,34,29–5,118.5,92.6,0.9446,52.2,47.2,17,15.4,38.3,23.3,37.2,19.3,54.1,47.4,32.6,31.4,38.1,35.4,64.8,9.4
7,Arizona,P12,34,28–6,119.7,95.4,0.9309,56.8,47.2,18.4,16.9,31.1,26.2,36.5,26,56.6,45.9,38.2,32.8,38,38.7,73.2,7.6
8,Saint Mary's,WCC,32,25–7,111.7,89.1,0.9306,52.5,46.7,16.4,19,33.1,21.8,31.2,30.3,51,45.6,36.7,32.8,37,31.8,62.8,3.4
9,Texas,B12,34,26–8,114.6,91.6,0.9296,52.7,47.8,16.5,22.8,28.3,29.4,31.5,34.5,53.8,47.2,33.9,32.7,35,35.4,69.5,7.5
10,Gonzaga,WCC,32,27–5,122.6,98.6,0.925,58.5,51.7,14.6,18.8,31.1,26,34.2,26.7,59,51.2,38.4,35,32.8,39.4,70.7,6.6
11,Marquette,BE,34,28–6,119,96,0.9216,56,51.1,15.2,22.8,26.5,32.1,27.1,29,58.8,50,34.8,35.2,41.9,37.5,69.3,7.8
12,San Diego St.,MWC,32,26–6,111.3,90.1,0.9186,50.1,47.5,17.6,19.6,31.7,25.8,34.3,29.4,49.4,49.9,34.4,29.2,34.9,40.1,66.8,5.7
13,Kansas,B12,34,27–7,112.9,91.5,0.9184,52.4,47.1,17.5,20.2,28.4,28.3,29.8,31.2,52.9,47.2,34.4,31.2,34.1,35.1,69.9,10.1
14,Creighton,BE,33,21–12,113.8,92.8,0.913,54.3,47.3,16.6,14.3,25.5,23.3,28.1,19.8,54.5,45.6,36,34.1,42,29.8,68.6,2.2
15,Baylor,B12,32,22–10,120.9,99.5,0.9046,53.1,51.4,18.1,19.9,34.7,31.1,37.2,31.4,50.8,53.3,37.2,32.2,45.3,37.8,67.7,5.2
16,Memphis,Amer,34,26–8,113.9,94.2,0.8995,53.2,46.8,18.4,20.9,31,32.3,35.9,34.9,53.1,47.2,35.6,30.8,28.8,42.9,72.2,4.7
17,Xavier,BE,34,25–9,118.6,98.4,0.8954,55.6,50.4,17.5,16.5,31.8,25.4,30.8,27.1,54,48.7,39.5,35.9,31.3,34.2,71.2,5.4
18,West Virginia,B12,33,19–14,116.1,96.4,0.8947,51.7,50.7,18.5,20.9,33.7,29.3,39.7,38.4,51.3,50.5,34.8,34.1,36.3,35,69.4,1.5
19,Arkansas,SEC,33,20–13,110.7,92,0.8938,52,46.5,18.3,20.4,30.5,28.2,38.8,38.9,53.8,46.9,31.7,30.6,28.2,30.1,70.4,0.38
20,Iowa St.,B12,32,19–13,108.2,90,0.8925,50.7,50.1,19.8,25.1,33.9,26.6,27.8,40,50.7,49.6,33.9,33.8,33.8,46.8,64.9,2.4
21,Duke,ACC,34,26–8,111.9,93.1,0.8914,51.1,46.3,18.2,16.6,36.2,25.9,30.8,24.1,51.4,46.7,33.6,30.4,35.4,35.1,65.9,4.5
22,Texas A&M,SEC,34,25–9,113.2,94.8,0.8851,49,47.9,18.3,21,36.6,30.4,45.9,35.1,49,47.4,32.8,32.3,33.7,45.9,67,3.7
23,Auburn,SEC,32,20–12,110.9,93.2,0.8813,49.6,45.6,18.1,19.3,33.3,32,35.5,39.1,51,46.9,31.4,28.8,35.4,34.2,68.4,1.1
24,Kansas St.,B12,32,23–9,110.3,93.1,0.8759,51.5,47.5,20,20.7,31.1,29.2,37,36.7,51.8,48.8,34,30.1,36.3,36.8,70.7,4.2
25,Florida Atlantic,CUSA,32,29–3,112.2,94.8,0.8739,55,45.9,16.7,18.3,30.4,24.5,29.5,26.7,54.3,44.8,37.2,32,43.8,34.2,68.9,4.7
26,TCU,B12,33,21–12,110.4,93.4,0.8722,50.2,47.8,17.1,21.9,32.4,30.7,33.9,29.7,51.9,49.1,30.6,30.4,29.4,35,70.6,2.2
27,Virginia,ACC,32,25–7,110.4,93.5,0.8717,51.3,48.3,13.7,19.7,25.5,25,34.5,26.1,50.4,46.5,35.3,34,36.1,39.7,62.1,4.1
28,Utah St.,MWC,33,25–8,115.5,98,0.8686,55.6,47.8,17.4,15.8,27.4,24.8,35.5,30.2,54.1,45.9,38.5,34.3,42.1,33.8,69.5,2.9
29,Rutgers,B10,33,19–14,103.9,88.3,0.8667,47.6,45.9,17.2,21.7,32,27.6,28.5,28.2,47.6,46.1,31.8,30.5,30.3,43.1,66.7,-1
30,Michigan St.,B10,31,19–12,111.6,95,0.8641,51.6,48.1,16.4,14.7,27.4,25.2,25.8,28.6,47.7,48.6,39.5,31.5,33.1,38.3,65.6,2.4
