Rk,Team,,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
225,North Carolina Central,MEAC,28,13–15,95.8,100.8,0.3587,50,47.6,23.4,24,29.4,35,45.7,41.8,49.7,47.8,33.6,31.5,32.9,33.2,66.3,-9.6
226,Boston College,ACC,31,9–22,95.5,100.5,0.3567,48.1,49.5,22.3,18,22.4,32.7,33.7,28.4,46,48.1,33.9,34.9,43,34,65.2,-11.4
227,Furman,SC,29,13–16,97.5,102.7,0.356,47.6,48.5,21.7,19,33.3,31.3,37.9,39.3,45.4,49.3,34,31,37.5,31.2,64.7,-10.6
228,Stetson,ASun,28,8–20,99.4,104.7,0.3552,50.9,51.8,24.3,19,33,34.5,34.3,32.6,50.5,51.3,34.3,35.4,39.7,30.5,71.5,-12.3
229,James Madison,CAA,32,12–20,100.3,105.6,0.3548,49.2,49.3,19.4,20.3,29.1,36.5,31.4,42.4,45.5,47,36.7,36.3,38.1,30.7,66.5,-12.5
230,Texas Tech,B12,31,8–23,93.9,99,0.3528,48.6,48,26,19.1,26.8,33,40.1,47.9,46.8,46.7,35.7,33.6,27.1,33.8,65.1,-11.1
231,Sacred Heart,NEC,32,14–18,101.2,106.7,0.3515,51.9,50.7,22.1,20.1,31.3,32.7,34.9,35,50.2,49.1,36.9,35.8,31.9,35.9,67.6,-12.5
232,FIU,SB,28,8–20,97.7,103.2,0.3488,46.4,49.8,22.3,21.1,32.5,35.8,39,47.7,44.9,50.1,33.4,32.8,29.5,37.4,64.7,-13.2
233,Wright St.,Horz,31,12–19,92.5,97.7,0.3477,45.7,52.3,21.8,25.5,25,30,37.4,45.6,42.6,54,34.3,33.3,35.1,40.9,63.5,-10.8
234,Campbell,BSth,31,16–15,101.9,107.7,0.3472,52.9,49.3,20.7,17.3,31.5,32.1,44,43,51.9,49.6,37.1,32.6,25.7,36.4,68.7,-9.3
235,Northwestern St.,Slnd,29,13–16,95.5,100.9,0.3459,47.2,47.7,20.5,22.7,31.9,39.6,42.4,39.1,47.5,47,31.1,33,33.8,26.2,70.1,-9.7
236,Austin Peay,OVC,31,11–20,99.5,105.4,0.342,48.2,52.8,21.2,21.5,34.3,36.1,41.3,35.4,48.6,51.1,31.3,37.8,24.2,31,68.9,-11.7
237,Siena,MAAC,31,14–17,95.5,101.2,0.3392,46.7,47.2,21.3,17.8,33.2,32.2,34.2,25.1,47,42.7,30.7,36.7,28.1,36.2,65.5,-11
238,Southeast Missouri St.,OVC,29,13–16,103.4,109.8,0.334,52.1,49.3,20,15.8,34,30.8,34.4,41.5,50.6,46.3,37.4,37.9,28.4,28.3,65.7,-11.1
239,Elon,SC,29,13–16,96.4,102.4,0.3336,47.5,48.6,19.5,17.8,27.3,32.4,32.6,34.1,45.1,48.2,34.5,33,36,32.5,69.5,-9.6
240,Morehead St.,OVC,30,15–15,97.3,103.4,0.3329,50,52.8,24.5,24.5,34.8,31.2,37.4,42.4,48.1,53,35.6,35,37,42.5,61.1,-9.1
241,Southern Utah,Sum,29,12–17,97.2,103.2,0.3325,49.8,52,20.9,19.3,31.6,28.9,37.1,46.8,50.7,51.2,30.4,35.8,17.6,32.6,63.9,-10.9
242,Western Carolina,SC,33,15–18,99,105.2,0.3322,47.6,52,19.6,21.2,33.7,34.2,31.6,43.3,44.7,50.9,35.3,36.2,35.9,33.3,66.5,-11.1
243,McNeese St.,Slnd,29,14–15,98.7,104.9,0.3302,46.2,48.4,18.2,19.6,32.4,31.7,35,39.6,45.7,47.6,31.7,33.4,28.9,30.7,65,-9.2
244,High Point,BSth,29,11–18,103.9,110.6,0.3277,51.3,50.9,19.3,17.5,31.7,34.6,37.9,40.6,45.3,50.8,40.6,34.2,38.8,38,64.6,-12.8
245,Lafayette,Pat,31,13–18,104.3,111.1,0.3249,52.4,53,19,18.3,23.8,32.9,34.3,37.9,48.1,50.9,38.5,38.4,44.5,32.2,66.4,-11
246,Morgan St.,MEAC,29,9–20,98.1,104.5,0.3248,47.6,48.2,22.9,20.9,34.9,37,41,39.2,48.2,46.8,30.7,34.1,30,32.5,66.9,-14.6
247,Utah Valley,GWC,28,16–12,96.7,103.3,0.3199,45.8,47.3,18.9,17.6,34.4,28.8,35.5,31.1,45.5,48.4,31,30,30.2,33.6,66,-7.6
248,Niagara,MAAC,33,14–19,101.6,108.8,0.3126,46.9,53,18.5,23.3,33.6,35.8,37,50.7,45.5,52.3,32.6,36.1,39.3,40.6,68.2,-11.6
249,Jacksonville,ASun,30,8–22,97.9,104.9,0.3098,46.3,52.3,22.2,21,36.3,35,35,54.1,45.7,51.8,31.9,35.6,28.1,31.2,66.8,-12.9
250,Northern Colorado,BSky,26,8–18,103.5,111.1,0.3065,55.1,54,24.1,17.5,33.5,27.8,41.8,40,49.6,50.3,45.1,39.3,30.9,43,67.2,-12.2
251,Presbyterian,BSth,28,13–15,100.4,107.8,0.3064,51.7,51.8,20.9,17,30.2,30.9,39.4,31.7,52.1,51.2,34,35.6,34.4,27.6,61.2,-10.1
252,Santa Clara,WCC,28,6–22,103.1,110.8,0.3045,47,52.4,16.8,17.7,29.8,34,34.8,51,43,51.3,35.9,36.8,36.5,29,66.5,-14.4
253,North Dakota,GWC,27,13–14,95.2,102.6,0.2976,49.9,49.2,21.6,20,28,30.4,38,36.1,49.2,46.5,34.2,36.8,36.5,31.4,67.6,-9.3
254,Winthrop,BSth,30,10–20,94.1,101.4,0.297,45.4,51.8,19,21.6,32,29,31.4,44.2,45,48.9,30.8,37.9,29,36.7,63,-13.9
255,Troy,SB,27,9–18,103.6,111.9,0.2919,47.8,54.6,17.8,21,33.6,37.6,25.8,33.2,45.8,52,33.9,39.4,41.3,36.9,68.5,-11.7
256,Gardner Webb,BSth,30,10–20,94.6,102.3,0.2911,45.8,49.4,21.1,19.6,34.6,30.3,35.1,41.4,46.1,49.6,30.2,32.7,34.4,32.3,65,-14.5
257,Marist,MAAC,32,14–18,97.7,105.6,0.2898,47.4,51.5,21.7,19.4,31.1,32.8,42.3,26.7,44.5,50,35.7,36.8,32.8,29,68.7,-11.3
258,Purdue Fort Wayne,Sum,29,10–19,97.4,105.4,0.288,50.1,53.6,21,19.4,30.6,28.4,36.8,42.2,49.9,51.2,33.8,38.8,29.9,34.5,69.3,-12.6
259,Appalachian St.,SC,29,11–18,98.2,106.4,0.2857,50.1,48.8,21.1,16.2,30.4,32.5,38.4,39.7,49.3,49.2,34.4,31.9,35.3,28.2,66.4,-12.3
260,Fordham,A10,28,10–18,93.7,101.5,0.2856,42.2,48.8,20.3,18.9,36.2,35.1,32,35.6,42.7,46.2,27.4,35.5,29.1,36.5,67.4,-9.4
261,Bradley,MVC,32,7–25,93.5,101.5,0.279,44.4,51.4,20.3,19.2,26.3,31.5,36.3,32.3,44.2,50,30,36.1,29.2,33.5,68.9,-14.6
262,Delaware St.,MEAC,27,13–14,99.7,108.4,0.2756,47.8,47.9,16.6,21.4,30.4,41.6,31.6,35,45.9,47.4,34.4,32.9,32.5,28.3,60.9,-9.4
263,UC Irvine,BW,29,10–19,95.1,103.5,0.2754,48.3,47.9,21.1,18.2,30,33.2,32,36.8,45.1,44,35.7,37.1,37.9,33.3,69.7,-12.1
264,Bethune Cookman,MEAC,33,16–17,99.5,108.3,0.2748,48.4,51.7,20.6,23.8,34.2,37.3,37,43.1,46.7,51.1,35.3,35.5,27.6,28.8,63,-11.1
265,Pacific,BW,28,9–19,97,105.6,0.2731,46.5,51.1,18.8,20.4,29.5,34.9,35,34.5,45.7,49,31.9,36,38.5,42.6,62.7,-13.3
266,Chattanooga,SC,29,8–21,96,104.8,0.2654,46.3,50,19.7,17.4,31.2,29.1,37.4,30.2,45.3,49.8,32,33.5,38.9,48.9,68.5,-14.7
267,UMKC,Sum,30,10–20,98.9,108,0.265,51.4,52.6,20.3,18.9,25.8,34.7,29.6,40.6,47.7,52.6,37.7,35.1,42.3,27.3,64.2,-12.9
268,Central Michigan,MAC,31,10–21,95.8,104.7,0.2646,45.3,50,18.8,22.5,31.6,35.3,32.8,46.8,42.8,47,33.4,36.9,34.2,36.1,65.1,-13.7
269,Georgia Southern,SC,28,13–15,95.5,104.5,0.262,50.8,51.8,22.4,22.5,29,32.5,32.9,37.8,50.6,53.5,34.3,32.4,29.1,35.3,66.3,-9.5
270,Portland,WCC,30,6–24,97.5,106.7,0.2602,47.4,52.3,22.9,16.8,31.5,32.8,34,45.6,47.2,51,31.9,36.7,29.8,31.7,68.1,-14
271,Maine,AE,28,11–17,96.7,105.9,0.2591,47.9,47.1,19.7,19.1,31,35.3,25.9,35.9,48.2,44.6,31.5,35.4,30.1,29.5,67.5,-12.5
272,VMI,BSth,30,14–16,101.2,111,0.2571,50.6,54,18.2,20.8,26.8,36.4,39.1,36.8,53.2,54.8,31.6,34.8,44.3,28.9,74,-10.7
273,Mississippi Valley St.,SWAC,33,21–12,95.7,105,0.2566,46.5,50.2,20.6,23.1,33.6,31.4,34.9,41.8,44.8,46.1,32.8,38.8,38.4,33.3,69.9,-4.8
274,Texas St.,Slnd,26,9–17,98.8,108.3,0.2565,49.2,51.5,19.5,23,30,36.2,32.6,44.9,46.2,50.7,36.4,35.6,36.8,29.2,72.7,-12.7
275,Eastern Kentucky,OVC,30,14–16,98.7,108.3,0.2564,49.4,51.8,17.3,20.4,27.6,34.1,31.5,42.6,50.1,53.3,32.2,32.5,39.8,33,62.8,-11.2
276,Coppin St.,MEAC,27,11–16,104.9,115.1,0.2558,52,53.3,18.8,17.9,30.2,35.3,33.7,28.1,49.4,53.1,36.8,35.7,45.6,39.7,69,-10.5
277,Samford,SC,28,9–19,100.5,110.4,0.2525,51.1,51.2,20.2,18.9,28.6,36.2,29.8,33.1,53.2,49,32.4,36.3,46.6,41.5,62.9,-13.6
278,UNC Greensboro,SC,31,12–19,96.9,106.5,0.2517,45.9,52.7,21,22.1,34.8,34.3,31.9,45.3,43.7,51.4,33.6,36.7,33.5,35.6,71.8,-11.2
279,UC Riverside,BW,29,12–17,89.7,99,0.2434,44.1,44.9,20.7,18.7,28.6,33.8,29.6,37.1,43.1,43.2,31.4,31.9,25.5,35.1,63.4,-10.8
280,Eastern Michigan,MAC,31,13–18,89,98.4,0.24,42.5,47.7,22.9,23.3,31.6,36.7,35.7,39.4,40.7,47.7,30.8,31.9,32.2,39.9,60.3,-10.5
281,Liberty,BSth,29,11–18,99.5,110.3,0.2343,48,52.2,17.9,17,31.9,31.9,34.2,31.2,48.1,52.5,31.6,34.5,21.9,34.4,65.5,-13.4
282,Hampton,MEAC,33,12–21,90.7,100.7,0.232,45.2,45.5,20.7,22,32.6,35.7,38.7,37.4,46.4,41.6,28.6,35.5,34.5,33.6,68,-16.5
283,South Dakota,Sum,26,8–18,97.1,107.8,0.2318,50.5,52.5,19.1,16.8,25,30.3,32.2,29.6,49.1,50.5,35.5,38,34,30.9,69,-12.9
284,NJIT,GWC,28,11–17,96.2,106.9,0.2296,47.3,49.7,18.7,20.4,28.7,33.1,30.7,44.8,44.4,49.1,34.5,33.9,39.4,36,64.9,-12.5
285,New Hampshire,AE,28,12–16,90.6,100.8,0.2272,46.4,45.5,20.1,19.7,28.3,30.2,33.9,40.9,43.3,46.2,33.9,29.2,40.3,26.8,65.3,-12.3
286,Pepperdine,WCC,28,9–19,93.3,103.9,0.2269,44.5,48.8,21.6,16,33.9,29.3,36.6,41.3,43.1,47.4,31.9,34.4,29.4,34.3,61.7,-12.1
287,Sam Houston St.,Slnd,28,9–19,88,97.9,0.2258,45.6,47.7,24.1,21.7,29,30.6,41.1,38,45.9,46.6,29.9,33.1,32.2,34.3,63.5,-13
288,Illinois Chicago,Horz,28,7–21,96.4,107.4,0.2255,45.7,51.8,22.6,18,34,31.4,33,43.7,43.6,49.7,32.9,37.9,36.9,29.4,65.1,-14.4
289,Sacramento St.,BSky,26,8–18,97.3,108.4,0.2232,50.6,51.9,20.8,17.7,30.1,29.6,37.6,40.3,49.7,50.4,35.1,36.6,30.6,34.1,65.7,-13.9
290,San Jose St.,WAC,30,8–22,97.2,108.4,0.2223,45.1,51.5,16.5,18.3,29.5,34.4,32.4,33.2,42.6,50.8,32.7,35.1,38.9,36.2,65.3,-15.6
291,North Carolina A&T,MEAC,29,9–20,93.3,104.3,0.2169,47.4,49.9,21.6,22.2,29.3,37.9,36.8,35.9,45.3,49.4,33.9,33.7,36.3,43.3,69.4,-13.9
292,Montana St.,BSky,27,10–17,95.9,107.6,0.2105,46.9,53.6,20.4,20.8,31.3,31.4,35.6,39.8,44.3,51.1,34.7,38.6,34.4,35.5,67.3,-12.4
293,Loyola Chicago,Horz,29,6–23,93.3,104.9,0.2051,45.9,51,23.8,19.6,32.5,32.1,37.7,32.9,45.6,49.8,31.1,35.5,26.3,34,60.4,-16.2
294,Army,Pat,29,11–18,92.5,104.2,0.2016,48.9,51.7,21.9,22.1,23.9,30.5,37,36.6,46.2,51.5,35.1,34.6,41.6,38.4,69.8,-13.3
295,Dartmouth,Ivy,29,4–25,90.2,101.7,0.2008,44.3,48.7,21.5,19.1,27.3,27.8,36.1,38.5,41.9,45.2,33.1,37.6,30.7,32.1,63.6,-19.2
296,Mount St. Mary's,NEC,29,8–21,91.9,103.7,0.1984,47.6,49.6,25.4,20.6,34.7,34.4,30,38.7,47.7,49.8,31.7,32.8,32.9,32.8,63.6,-15.2
297,Monmouth,NEC,32,12–20,95.1,107.5,0.1967,47.1,55.3,20,24.7,29.6,37.9,32.5,42.5,45.8,54.6,33.3,37.6,31.4,38.9,69,-12.6
298,Texas Southern,SWAC,33,15–18,89.9,101.8,0.1922,46.8,46.7,25.4,24.1,33.6,34.4,45,34.1,45.5,44.9,33,33.1,33.5,38,66.2,-11.2
299,William & Mary,CAA,31,5–26,95.9,109,0.1864,47.2,51.6,20.3,15.2,25,31.4,33.3,34.8,46.7,51.1,32,35.1,41.2,34.1,63.5,-18
300,Utah,P12,30,5–25,92.7,105.6,0.1823,46,54,22.3,17.4,23.3,32.3,33.3,33.7,45.7,51.3,31,39.5,35.9,34,62,-14.6
301,Idaho St.,BSky,29,8–21,96.3,109.9,0.1803,47.4,55,21.1,22.5,31,34.5,34.1,44.5,45.1,52.7,34.5,39.3,34.2,36.1,65.5,-14.9
302,Southeastern Louisiana,Slnd,26,9–17,85.5,98.1,0.1707,43.7,46.4,23.5,20.7,31.6,31,40.3,39.1,43.9,47,28.7,29.8,27.3,27.5,63.9,-12.8
303,Eastern Illinois,OVC,27,10–17,95.3,109.4,0.1705,47.3,51.8,20.3,20.1,31.5,34.6,30.8,35.1,46.2,50.3,33.7,36.8,27,32,64.4,-12.8
304,Saint Francis,NEC,29,6–23,94,108.6,0.1602,50.6,52.4,24.5,21.2,28,38.5,34.9,33.8,50.6,51.1,33.7,36.6,28.2,33,63.9,-16.4
305,Cal St. Northridge,BW,26,5–21,96.2,111.2,0.159,42.7,54.3,20.1,21.6,34.6,36.2,36.8,49,41.3,53.2,30.4,37.3,33.5,39.7,69.2,-15.7
306,Radford,BSth,30,4–26,90,104.2,0.1571,43.6,50.4,20.7,21.8,31.5,36,30.6,51.4,42.3,48.3,30.6,37.3,36.7,27.3,65.5,-20.2
307,Saint Peter's,MAAC,31,5–26,89.2,103.8,0.1487,45.3,50.5,23.8,22.7,30.1,37.4,29,45.5,44.4,48.4,31.5,36.5,29.7,33.6,64.5,-19
308,SIU Edwardsville,OVC,25,8–17,93.9,109.5,0.1461,50.1,50.2,22.9,18.6,26.8,34.1,37.5,34.9,45.6,51.4,39.7,31.8,32.4,32.1,68.6,-13.3
309,Howard,MEAC,30,9–21,89.6,104.5,0.1458,42.4,49.9,25,20.9,34.9,33.2,46.1,53.3,40.4,49.8,31.9,33.4,27.5,33.5,66.5,-13.8
310,Brown,Ivy,30,7–23,93.2,108.9,0.1436,47.1,52.2,19.1,17.7,24.7,30.6,28.3,27.7,42.9,49,35.9,39.2,38.8,32.8,65.2,-17
311,Colgate,Pat,30,8–22,96.8,113.2,0.1418,49.5,52,22.1,15.1,26,29.3,35.5,36.6,45.4,49.4,38.4,37.9,33.6,34.5,66.4,-15.8
312,Hartford,AE,31,9–22,89.1,104.2,0.1413,48.6,51.2,23.1,23.1,21.7,31.6,30.8,42.9,50.5,49.4,31,36.5,46.6,34.2,65.9,-16.9
313,Canisius,MAAC,30,5–25,94.9,111.4,0.1373,46.2,51.7,21.6,18.4,33.9,36.5,29.1,35,44.6,51.7,32.9,34.5,33.5,36.8,66.6,-19
314,UT Rio Grande Valley,GWC,28,7–21,91.7,107.9,0.1335,47.5,50.8,23.1,19.9,24.7,35.5,34.2,33.4,43,50.7,36.1,34.1,39.9,29.6,64.6,-15.3
315,Kennesaw St.,ASun,30,2–28,95.9,112.9,0.1332,47.5,57,21.2,19.3,28.9,37.3,31.5,34.4,45.9,57.4,33.5,37.5,36.5,34.9,63.4,-19.2
316,Houston Christian,GWC,27,7–20,91.9,109,0.123,45.1,53.6,21.6,21.9,31.6,36.2,39.4,46.3,43.8,52.7,32.3,37.1,26.5,29.9,71.9,-15.4
317,Texas A&M Corpus Chris,Slnd,30,6–24,87.9,104.3,0.1224,44,49,22.8,20.1,29.7,33.1,37.9,43.7,43.3,47.4,30.6,34.9,29.1,31.4,66.1,-18
318,Southern,SWAC,28,14–14,88.3,105.3,0.1173,45.4,43.9,21.1,19.4,23.4,36.2,37.7,41.8,44.5,41.7,31.7,32.9,29.5,28.9,65.2,-10.7
319,Louisiana Monroe,SB,28,3–25,93.9,111.9,0.1171,46.7,52.9,20.3,16.6,26.9,31.4,29,38,43.1,50.2,36,38.2,32.8,38.5,64.4,-18
320,Florida A&M,MEAC,31,8–23,91.3,108.9,0.1156,44.5,50.3,22.5,21,35.8,38.5,27.8,42.4,42.7,49.3,32.6,35.2,28.4,30,69.4,-17.9
321,Northern Illinois,MAC,30,4–26,89.3,106.7,0.1148,42.3,52.4,25.4,18.8,35.1,30.1,31.8,45.4,39.6,49.2,31.3,38.1,36.5,40.7,63.3,-19.9
322,Central Arkansas,Slnd,26,6–20,91.8,110,0.1111,45.5,54.6,20.3,21.2,32.1,37.3,30.8,44,45.1,55.7,31.1,34.4,26.8,27.3,73,-15.1
323,The Citadel,SC,28,4–24,91.2,109.5,0.1087,47.8,53.7,22.1,18.3,28.4,32.2,33.3,30.6,47.2,55.7,32.7,33.5,30.1,35.8,64.8,-18.9
324,Navy,Pat,28,2–26,89.7,108.1,0.105,45.3,54.5,23.3,22,30.9,30.7,33.5,41.3,47.4,53.4,27.9,37.5,38.6,36.7,61.3,-20.5
325,UC Davis,BW,30,4–26,92.4,111.4,0.1043,48.4,52.2,23.4,16.8,26.7,36.1,31.7,37,43.2,51.4,37.4,35.9,40.4,32.7,66.3,-19.7
326,Nebraska Omaha,ind,16,1–15,95.6,115.5,0.1015,47.9,55.6,18.3,16.2,23.4,35.4,28.2,30.4,48.7,51.1,31.1,43.1,36.6,33.2,71.8,-11
327,Alabama St.,SWAC,29,10–19,86.2,104.3,0.1008,42.7,48.1,22.6,23.6,32.6,33.1,34.1,41.7,41.4,49.8,30.1,29.4,36.3,29.6,64.8,-14.1
328,Prairie View A&M,SWAC,29,11–18,84.2,102.1,0.0981,42.7,47.8,23,22.4,33.6,30.5,33.8,42.8,41.1,47.5,31.3,32.2,28.3,32.3,70.5,-13.4
329,Nicholls St.,Slnd,28,8–20,97.2,118.1,0.0966,48,54.8,22.2,18.2,26.9,37.5,36.5,41.2,49.1,52.8,30.8,39.2,39,33.6,66.8,-14.1
330,Tennessee Martin,OVC,29,2–27,93.1,113.4,0.0935,44.1,55.5,23.3,19.8,33.3,36,34.7,40.3,44.8,56.1,28.2,36,26.1,26.7,66.3,-20.5
331,Arkansas Pine Bluff,SWAC,33,11–22,91.5,111.7,0.0917,45.5,50.7,22.4,21.5,31.5,35.2,42.1,42.3,45.8,47.9,30,37.3,28.4,34.5,66.3,-16.2
332,Bryant,NEC,30,2–28,93.3,114.3,0.0881,46.8,54.2,22.1,17.5,27.6,34.5,29.5,33.5,47.8,53.2,30.3,37.4,42.4,35.7,66.1,-21.7
333,Chicago St.,GWC,28,3–25,87.2,107.6,0.0821,43.9,52.7,23.8,19.8,29.7,33.2,30.3,41.1,43.8,51,29.3,36.9,30.3,38.5,70.7,-18.1
334,Maryland Eastern Shore,MEAC,29,6–23,85.2,105.1,0.0819,42,49.5,25.8,19.4,35.7,32.9,31.5,42.3,42.6,50.2,27.2,32.1,32.9,35.5,68.1,-17.2
335,Alcorn St.,SWAC,28,7–21,87.3,108.1,0.0788,44.5,48.1,23.3,21.8,26.8,39.1,37.5,44.6,44.5,47.4,29.7,33.1,25.8,29.2,68.3,-17.3
336,Longwood,ind,27,6–21,97.7,121.1,0.078,48.3,57.8,17.7,16.1,25.3,32.2,25.5,31.5,47.2,55.6,33.2,40.7,40.5,39.2,70.7,-15.5
337,UMBC,AE,30,4–26,90.7,112.6,0.0768,43.5,53,21,18.7,31.7,33.3,32.2,46,43,52.9,29.7,35.5,29.2,34.5,69.3,-21
338,Fairleigh Dickinson,NEC,29,3–26,86.6,107.5,0.0765,44.7,49.7,22.2,18.8,29.5,34,32.7,38.5,45.7,46.7,27.7,37,24.7,33.8,67.6,-20.5
339,Towson,CAA,32,1–31,86.4,107.4,0.0753,40.1,51.1,28.6,16.8,38.5,34.7,40.9,36.4,40,48.4,27,36.9,25.3,37.7,62.9,-20.9
340,Northern Arizona,BSky,27,3–24,88.8,111.1,0.071,44.2,56.9,22.7,20.9,31.5,33.9,30.4,31.9,42.8,54.6,31.7,41,29.6,32.5,65.5,-19.2
341,Jackson St.,SWAC,30,6–24,86.5,108.3,0.0702,41.8,49.8,23.8,20.8,33.6,36,33,41.7,39.6,49.1,32.2,34.3,24.9,30.8,62.5,-17.4
342,Alabama A&M,SWAC,26,5–21,88.4,111.1,0.0677,45.1,49.2,23.9,20.6,30.4,33.6,35.5,52.9,44.1,48,31.6,35.1,30.9,25.4,67.9,-17.4
343,South Carolina St.,MEAC,29,3–26,91.4,115.1,0.0658,43.1,53.8,22.4,17.8,35.6,36.4,34.8,36.1,43.4,51.6,28.2,39.3,27.6,30.6,69.8,-20.4
344,Binghamton,AE,31,2–29,85.2,112.5,0.0397,43.9,53.5,22.8,19.5,26.8,30.7,34.1,37.7,43.3,52.6,30.2,36.8,27.7,34.5,65.6,-24.3
345,Grambling St.,SWAC,28,4–24,81.9,115.2,0.0193,39.8,49.9,24.5,17.4,27.8,36.3,35.7,31.2,39.3,50.5,27.5,32.3,28.8,29.4,65.6,-19.9
