Rk,Team,,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
117,Valparaiso,Horz,32,21–11,105.5,100.1,0.647,54.3,47.8,22.1,17.8,27.7,29.4,44.5,36.6,55.6,47.3,34.9,32.7,39.7,31.3,65.4,-3.7
118,Milwaukee,Horz,32,19–13,99.7,94.8,0.642,49.4,45.6,21.3,20.8,31.6,30.5,38.7,34.1,47.4,46.9,34.7,28.3,42.7,28.5,65.4,-4.7
119,Weber St.,BSky,28,22–6,109.1,103.7,0.6419,52.6,49.8,15.8,17.7,26.5,28.5,38.2,33.6,49.7,46.9,37.9,37,40,34.1,66.6,-0.9
120,UT Arlington,Slnd,31,23–8,102.6,97.5,0.6418,50.6,47.5,22.5,24.6,36.7,31.1,47,35.2,49.1,45.7,35.7,33.4,34.3,40.5,71.9,-2.5
121,Providence,BE,32,15–17,108.3,103.3,0.6318,47.1,47.9,18.5,16.6,36.1,35.6,39.3,29.7,45.1,46.6,35.3,33.8,24.7,32.9,66.6,-4.9
122,Kent St.,MAC,31,20–11,104.1,99.3,0.6312,50.6,48.5,20.4,23.5,33.7,34.9,36,31.6,49.6,46.8,35.3,34.6,31.1,33.2,67.9,-3.9
123,Rutgers,BE,32,14–18,100.3,96,0.6235,47.1,48.2,22.3,23.6,36.6,35.3,31.7,46.3,45.8,46.8,33.5,33.7,28,36.5,66.4,-5.8
124,Evansville,MVC,30,15–15,107.4,103,0.6177,50.6,55,18.5,24.6,26.9,34.2,43.1,44.7,47.7,54.1,39,37.7,26.2,34.2,67.6,-5.6
125,Lamar,Slnd,32,21–11,104.2,99.9,0.6174,46.5,46.7,17.6,20.4,37.3,30.5,41.2,33.8,45.6,45.2,33.2,34,21.7,25.9,67.5,-4.2
126,Butler,Horz,33,19–14,97.3,93.9,0.6024,45.2,47,20.4,21.7,34.2,27.7,40.3,44.9,47.5,46.5,27,32,32.5,34,65.2,-4.8
