Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Houston,B12,34,30–4,124.3,87.6,0.9824,52.7,44.9,14.6,21.7,36.1,29.3,28.2,34.1,49,43.9,39.8,30.9,34.5,43.1,62.1,11.5
2,Duke,ACC,34,31–3,127.2,90.9,0.9794,57.4,44.5,14.4,17.7,35.2,26.5,32.1,25.4,58,43.4,37.7,30.9,45.4,37.9,66.5,9.5
3,Auburn,SEC,33,28–5,129.5,93.3,0.9776,55.7,46,13.4,17.4,34.3,30.3,33.5,39.2,56.1,47.2,36.8,29.2,40.6,34.8,68.6,12.7
4,Florida,SEC,34,30–4,126.8,94.2,0.9683,55,45.3,15,17,38.1,28.8,32.6,33,56.4,45.9,35.5,29.6,43.6,37.3,70.3,11.1
5,Alabama,SEC,33,25–8,127.2,96.3,0.961,56.3,47.9,16.7,13.5,34.7,29.2,40.1,33.9,59.7,48.8,35,30.8,46.2,35.1,75.4,10.1
6,Tennessee,SEC,34,27–7,118.7,90.5,0.9579,52.8,44.4,16,17.8,35.4,30.1,35.4,29.4,54.1,46.7,34,27.8,43,45.1,64.6,9.3
7,Texas Tech,B12,33,25–8,125.6,96.9,0.9518,55.5,48,14.8,17.4,34.3,28.5,29.7,33.5,54.3,48.2,37.9,31.7,44.6,34.1,66.3,5.8
8,Iowa St.,B12,33,24–9,119.2,92.6,0.948,54.6,48.4,16.9,21.8,32.2,28.4,38.5,28.9,55.1,47.5,35.8,33.2,36.9,40.7,69.3,5.4
9,Maryland,B10,33,25–8,118.4,92.1,0.9472,53.8,47,14.5,20.2,31,27.2,32.9,25.9,52.7,47.6,37.2,30.7,35.5,35.8,70.6,5.2
10,Arizona,B12,34,22–12,123.1,96.3,0.9439,52.9,48.6,16.2,16.6,35.9,28.5,36.6,29.2,55.1,47.2,32.4,33.6,34.6,41.9,70.6,5.4
11,Gonzaga,WCC,33,25–8,123.3,96.8,0.9419,55.7,47.5,13.2,18.2,32.7,26.4,30.9,28.6,57.8,49.1,34.4,30.2,33.5,40.6,70.9,2.8
12,Michigan St.,B10,33,27–6,117.2,92.2,0.9402,51.2,46.1,16.6,16.4,35.3,24.6,37.8,33.1,53.6,49.1,30.8,27.9,32.7,41.4,68.6,8.5
13,Wisconsin,B10,35,26–9,122.6,96.7,0.9391,53.6,47.9,14.1,14.5,28,26.6,33.8,28.1,54.7,46.8,34.9,33,48.1,39.1,68.3,6.6
14,Illinois,B10,33,21–12,122,96.8,0.9346,52.3,47.3,15.8,12.7,36,26.3,34.6,26.8,57.3,46.1,31.1,33.3,46.9,30.4,72.1,4
15,Purdue,B10,33,22–11,124.9,99.3,0.9328,56.3,52,15.6,17.8,31,29.9,34.6,31,55.5,56.4,38.5,30.7,38.1,42.7,65.8,4.9
16,Kentucky,SEC,33,22–11,123.9,98.8,0.9313,56,50.4,15.2,14,28.7,25.9,35.9,31,55.9,53.7,37.4,30.8,41.7,43.5,71.6,5.6
17,St. John's,BE,34,30–4,112.5,89.7,0.9311,49.7,46.6,15.6,21.9,37.3,28.9,30.2,30.4,51.5,45.8,30.4,31.8,30.3,40.8,70.9,7.8
18,Kansas,B12,33,21–12,115.9,92.5,0.9303,53.1,46.2,16.7,15.6,30.4,27.5,24.3,28,53.4,46.1,35.2,30.9,34.3,40.7,69,4.2
19,BYU,B12,33,24–9,124.1,99,0.9302,57.2,50.6,17.6,17.2,33.3,26.1,30.2,29.5,58.6,49.3,37.1,34.8,48.3,44.4,67.9,4.8
20,Missouri,SEC,33,22–11,125.8,100.9,0.9266,56.2,50.7,15.2,20,33.7,32.2,46.8,35.3,56.7,51.1,37,33.4,41.5,38.2,68.9,3.2
21,UCLA,B10,32,22–10,117.2,94.6,0.9218,53,50.5,15.9,22.8,32.8,29.2,32.9,34.6,53.1,51.2,35.2,33.2,36,44.8,65.8,3.9
22,Michigan,B10,34,25–9,116.5,94.2,0.9197,54.5,46.3,19.8,16,33.2,29.8,35,28.5,57.7,45.9,33.4,31.3,42.5,38.9,70.3,6.8
23,Louisville,ACC,34,27–7,117.8,95.3,0.9195,53.4,49.2,16.5,18.6,32.2,27.2,34.5,26.8,57,48.3,33,33.7,48.1,39.7,69.6,5.5
