Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Gonzaga,WCC,29,26–3,120.9,88.5,0.9731,59.4,43.2,15.9,17,29,23,29.7,22.2,60.9,41.6,37.9,30.7,35.4,33.9,73.8,6.7
2,Houston,Amer,34,29–5,117.1,88.9,0.9598,53.6,43.5,17.1,21.7,37.8,27.3,28.7,35.1,55.1,43.5,34.1,29,39.1,42.9,65.1,6.2
3,Baylor,B12,32,26–6,117.5,90.7,0.9514,52.9,47.8,18.2,22.9,36.3,28.4,28.5,26.9,53.5,49.5,34.6,29.9,37.7,35.9,68.6,8.9
4,Kansas,B12,34,28–6,120.2,92.9,0.9511,54.1,46.9,17.8,18.4,33.4,28.9,32.8,27.8,54.5,47.9,35.5,30.1,33.8,34.2,70.1,10.4
5,Arizona,P12,34,31–3,118,92.4,0.9433,55.9,44.4,18,17.7,34.5,28.3,35.1,22.8,57.5,41.9,35.4,32.7,35.7,34.5,73.4,8.8
6,Duke,ACC,34,28–6,120.4,94.4,0.9429,55.6,47,14.9,16.1,31.9,28.5,28.6,18.9,55.8,46.9,36.8,31.4,36.6,33.8,68.7,7.2
7,Texas Tech,B12,34,25–9,109.1,85.5,0.9427,52.4,45.5,20.3,23.6,33.3,26.1,36.1,32.1,55.1,44.3,31.4,31.3,34.4,45.6,67.4,6.6
8,Kentucky,SEC,33,26–7,119.1,93.9,0.9392,53.3,46.5,16.6,17.4,37.8,24.9,27.2,25.1,53.7,47.2,34.9,30.3,28.1,36,68.8,6.9
9,Tennessee,SEC,33,26–7,110.1,86.9,0.9379,50.3,46.2,18,22.9,32.8,27.4,29.6,31.6,48,45.8,35.8,31.2,40.7,39.4,68.3,7.9
10,Villanova,BE,33,26–7,117.1,93,0.9344,52,47.5,15.5,18.8,30.9,28,30.5,25.1,50.3,48.2,35.9,31,46,43,63.6,7.3
11,Auburn,SEC,32,27–5,112.7,89.6,0.9332,50.3,44.1,16.7,20.7,33.2,29.3,31.6,34.8,51.9,42.6,32,31.2,39.9,36.3,71,7.4
12,Purdue,B10,34,27–7,122.6,97.5,0.9331,57,49.6,17.3,14.1,35.2,23.6,36.3,21.4,55.9,49.2,39.1,33.5,39.1,41,66.8,7
13,UCLA,P12,32,25–7,115.1,91.6,0.9325,50.6,47.7,13.4,19.7,31.9,24.8,29.8,29.2,49.6,47.3,35.2,32.2,31.5,37.8,66.8,5
14,Iowa,B10,35,26–9,121,97.8,0.921,53.6,49.8,12.9,19.3,32.2,30.2,30.4,26.2,52.6,50,36.8,32.9,39.2,36.5,70.8,4.5
15,Texas,B12,32,21–11,111.5,90.5,0.9172,50.1,46.5,18.2,23.3,31.9,30,32.3,36.8,50.9,46.1,32.3,31.6,36,33.7,64.1,3.4
16,Illinois,B10,31,22–9,113.6,93.1,0.9074,53.1,46.3,17.7,15.6,33.4,25.8,31.7,28.4,51.7,45.5,36.7,32.2,42.7,29.6,68.2,4.1
17,Virginia Tech,ACC,35,23–12,114.7,94.9,0.8978,55.2,48.7,17,18.8,28.1,26.1,23.7,25.2,52.5,49.4,39.3,31.7,41.4,37,64.1,1.7
18,LSU,SEC,33,22–11,105.8,88.1,0.891,49.5,45.1,20.4,25.3,33.7,31.2,33,38.4,50.5,47.7,31.9,28,34.6,45.9,69.8,2.3
19,Saint Mary's,WCC,31,24–7,107.8,90.1,0.8872,52.6,48.3,17.1,19.5,27.3,21.9,23.2,24.4,52.6,47,35.1,34.4,36.1,28.8,64.8,3.9
20,Indiana,B10,33,20–13,108,90.5,0.8837,51.3,45.6,17.3,17.4,26.9,25,33.5,30.6,51.4,43.4,33.9,32.6,31.8,40.2,68.2,0.21
21,Arkansas,SEC,33,25–8,109.4,92,0.88,49.2,47.5,17.4,20.6,30.9,25.8,37.9,32.3,50.9,46.4,30.7,32.8,34.3,39.2,71.7,4.5
22,Connecticut,BE,32,23–9,112.6,94.8,0.8787,49.6,45.7,17.4,18,38,27.5,30.6,31.9,47.8,42.8,35.3,34.5,34.2,32.6,66.2,3.1
23,San Francisco,WCC,32,23–9,109.4,92.2,0.8781,53.1,46.9,18.1,18.5,30.3,23.8,28.4,32.2,53.9,48.4,34.7,28.9,44.4,30.4,69.9,1.6
24,Memphis,Amer,31,21–10,110.4,93.2,0.8754,52.6,46.5,22.9,20.9,37.5,31,38.4,32.9,52,45.3,35.9,32.1,30.8,42.8,71.5,1.4
25,Alabama,SEC,32,19–13,115.9,98.1,0.8718,51.5,49.4,19.8,17.7,35.5,30.7,33.6,35.2,56.3,49.3,30.8,33.1,48,35.9,72.8,2
26,Oklahoma,B12,33,18–15,109.8,93.2,0.8686,54.5,49.1,22.3,20.6,25.6,26.3,28.3,26.8,57,50.5,33.9,30.9,41.2,34.3,66,1.1
27,Michigan,B10,31,17–14,113.9,96.7,0.868,52.3,50.3,17.1,15,31.2,23.8,28.9,26.6,53,50.8,34,33,32.3,33.9,67.2,0.15
28,North Carolina,ACC,33,24–9,112.8,95.9,0.8663,52.1,49.8,16.5,14.1,30.4,20.8,29.6,21.5,50.7,48.3,36.2,34.9,37.4,36.9,71.2,4.3
29,Wisconsin,B10,31,24–7,110.1,93.8,0.8638,48.2,49.4,12.7,16.9,25.8,24,32.3,27.7,48.9,49.9,31.3,32.3,36,33.7,67.5,6.4
30,San Diego St.,MWC,31,23–8,101.4,86.4,0.8635,48.8,44,19.3,21.7,29.6,27,31.3,30.6,46.6,43.1,35.8,30.4,30.8,38.2,66.2,2.6
31,Ohio St.,B10,30,19–11,116.3,99.5,0.8577,54.8,47.9,16.7,15.3,28.8,28.6,33.5,29.2,54,46.2,37.3,34,39.7,35.3,66.2,1.3
32,Wake Forest,ACC,32,23–9,111.3,95.3,0.8563,56.2,47.5,18.8,17.4,27.1,26.2,32,28.7,58.7,46.7,35.2,32.7,42,36.1,71,1.4
33,Boise St.,MWC,33,26–7,106.9,91.9,0.8506,51.1,48.2,18.5,20.1,30.6,21.9,35.2,25.8,51.1,48,34.1,32.4,38.6,33.2,65.7,3.5
34,Oklahoma St.,B12,30,15–15,102.6,88.2,0.85,48,45.7,21.4,22.8,32.3,31.4,33,31.2,49.8,43.7,29.5,32.4,31.4,40.1,68.9,-0.8
35,Iowa St.,B12,32,20–12,103.1,88.7,0.8497,49.9,48.4,20.4,24.5,28.2,28.5,28.1,36.2,50.9,50.7,32.1,29.6,37.4,37.5,67.3,2.8
36,Michigan St.,B10,34,22–12,110.9,95.5,0.8484,52,47.5,19.2,15.3,30.7,27,30.4,28.3,49.7,47.9,37.8,31.2,33.4,37.8,68.7,2.9
37,Loyola Chicago,MVC,31,24–7,109.1,93.9,0.8483,56.3,47,18.4,19.9,25.1,23.9,31.9,28.4,55.8,46.9,38,31.5,43.1,38.1,65.6,1.8
38,TCU,B12,32,20–12,107.4,92.9,0.8415,48.9,47.7,21.6,18.4,37.8,26.1,31.2,26.7,50.5,47.9,30.3,31.5,32,34.6,66.9,2.9
39,Murray St.,OVC,29,27–2,109.6,95,0.8382,52.9,48,17.1,21,35.5,25.4,31.1,24.6,53.5,50,34.7,30.1,37.7,40.6,67,3.5
40,Xavier,BE,31,18–13,110.5,95.9,0.8359,50.4,48.4,16.5,18.2,29.2,25.8,35.6,25.4,51.4,48,32.5,32.7,35.7,36.9,69.4,-1.1
41,Notre Dame,ACC,31,21–10,111.9,97.1,0.8353,54,49.1,15.5,15,22.1,24,27.7,22.9,52,49.9,37.8,31.7,43.1,35.3,66.6,1.8
42,Providence,BE,30,25–5,111.6,96.9,0.8344,50.3,46.7,17.3,15.8,30.5,28,38.5,26.3,49.6,46.6,34.3,31.2,38.1,36.1,66.5,5.9
43,Washington St.,P12,33,19–14,107.8,93.8,0.8331,48.5,47.5,16.8,21,33.6,30,29.9,31.1,46.5,46.9,34,32.4,44.2,35.3,67.3,-4
44,North Texas,CUSA,28,22–6,104.6,91.2,0.8281,51.5,46,18.8,20,31.5,24.8,38.4,32.4,49.9,47.6,35.7,28.2,41.8,29.4,60.1,0.7
45,Florida,SEC,32,19–13,110.4,96.4,0.8266,49.9,49.2,18.5,21.6,31.7,32.5,34.7,30.1,53.2,49.3,30.7,32.7,46.1,32.8,66.2,-0.9
46,Texas A&M,SEC,34,22–12,108.1,94.4,0.8254,49.8,47.9,19.3,23.9,33.5,33.1,35.4,34.5,49.6,48.3,33.5,31.6,34.8,38.1,67.6,1.2
47,Seton Hall,BE,30,20–10,106.8,93.3,0.8254,47.6,45.4,17.5,18.5,32.7,29.1,30.8,27.8,46.2,44.8,33.3,31,35.6,34.3,68.6,1.9
48,Davidson,A10,32,26–6,115.7,101.4,0.819,55.6,49.4,14.8,16.9,23.6,22.2,32.9,28,54.2,48.4,38.4,33.8,41.1,43.8,65.7,2.1
49,Syracuse,ACC,33,16–17,115.9,101.7,0.8185,52.5,50.6,15.4,16.7,29.2,32.1,28.3,23.5,49.9,51.6,37.6,33,39.3,48.7,68.7,-3.8
50,Colorado St.,MWC,29,24–5,112.5,98.7,0.8178,55.2,49.9,15.1,18.4,21.9,24.9,30.4,25,56.3,50.5,35.7,32.7,39,44.3,66.4,4.3
51,Utah St.,MWC,32,17–15,109.6,96.3,0.8172,54.5,49.4,18.3,18.5,25.7,22.9,28.7,29.3,56.6,48.6,34.2,33.8,40,39.8,67.5,-4.7
52,SMU,Amer,31,23–8,109.3,96,0.8161,52.1,44.8,17.7,17.1,27.8,30.3,35.9,25.3,50.4,44.5,36.3,30.3,42.6,33.5,69.3,1.8
53,USC,P12,33,26–7,109.3,96,0.816,51.1,44.7,17.7,14.7,33.8,27.2,30.9,26.3,50.1,41.6,35.4,33.7,32,34.5,67.1,4.1
54,Dayton,A10,33,23–10,108.2,95.1,0.8142,53.9,47.3,19.4,17.5,30.8,23.3,31.3,24.1,53.5,46.2,36.5,32.7,34.1,37.2,64.1,-1.2
55,Miami FL,ACC,33,23–10,114.3,100.6,0.8133,54.2,53.4,14.2,20.3,23.4,30.3,28.9,24.6,54.9,53.9,35.3,35.2,35.9,39.4,68.5,2.6
56,Mississippi St.,SEC,33,18–15,108.7,95.8,0.8099,49.5,49.6,19.4,19.5,34.4,25.9,38.4,28.1,51.6,50.6,29.5,32.1,28.1,42.1,66.4,-2.4
57,VCU,A10,30,21–9,98.8,87.1,0.8093,51,43.8,22.2,25.2,26.7,32.2,30.5,38.2,50.8,45.2,34.3,27.5,30.1,35.4,69.4,0.5
