Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Houston,B12,34,30–4,118.5,85.3,0.9778,49.7,44,13.7,24.7,36.9,30.2,29.9,39,48.4,43.4,34.7,30,36.6,40.9,64.3,10
2,Connecticut,BE,34,31–3,126.8,94.1,0.9686,57.1,45.1,14.9,16.2,36.5,26.8,33.3,32.5,58.5,43.7,36.7,31.9,40.9,33.2,65.6,11.2
3,Purdue,B10,33,29–4,126.1,94.3,0.9659,56,47.7,16.5,14,37.4,24.7,42.8,23,53.2,48.1,40.8,31.4,35,37.2,68.6,10.6
4,Auburn,SEC,34,27–7,120.5,92.1,0.9563,54.1,43.4,14.9,18.2,32.9,30.3,38.2,41,54.9,42.8,35.2,29.8,37.5,33.3,70.8,5.2
5,Arizona,P12,33,25–8,121.6,93.3,0.9546,55,48.7,16.1,18.1,36.3,23.1,36.7,25.7,54.6,47.8,37.1,33.4,32.6,38.2,73.1,4.9
6,Iowa St.,B12,34,27–7,113.4,87.5,0.952,51.9,47.1,15.7,25.7,31.6,29.4,36.1,35.2,51.7,46.9,34.9,31.5,32,45,68.5,6.3
7,Tennessee,SEC,32,24–8,115.4,91.1,0.9383,51.5,45.4,14.6,18.9,32.4,28.6,34.3,35.8,51.6,44.3,34.2,31.4,41.3,41.4,70.2,5.6
8,North Carolina,ACC,34,27–7,117.8,93.3,0.9364,51.3,46.4,14.4,14.9,32.8,23.5,36.8,28.3,50.3,46,35.4,31.4,35.9,36.1,71.4,7
9,Marquette,BE,34,25–9,118.7,94.3,0.9339,55.1,49.7,14.3,21.1,26,30.8,25.6,28.2,56,49.2,35.8,33.6,40.5,43.1,70.1,6.6
10,Creighton,BE,32,23–9,120.4,96.3,0.9288,57.5,46.4,15.3,11.2,25.9,24.6,24.5,16.2,60.6,45.7,36.1,32.2,48.9,27.2,67.9,4.4
11,Duke,ACC,32,24–8,120.7,96.9,0.9265,55.2,49,14.3,16.9,31.8,25.9,33.8,27.6,54.4,49.1,37.7,32.6,37.4,35.5,67.9,3.5
12,Alabama,SEC,32,21–11,125.6,101.4,0.9213,56.3,49.9,16,15.6,34.9,29.9,35.2,39.6,57.6,51.1,36.5,31.9,46.8,36.7,73.5,3.3
13,Illinois,B10,34,26–8,124.3,100.7,0.9187,53.8,48,15.1,12.3,36.2,26.1,37.8,27.1,54.7,46.6,34.9,34.3,38.3,27.9,70.8,5.6
14,Saint Mary's,WCC,32,25–7,115.1,93.4,0.917,53.1,45.1,16,16.7,39,22.4,28.3,32.2,53,43.6,35.5,32.4,36.7,29,63.1,1.4
15,Gonzaga,WCC,31,24–7,120.6,98.3,0.9132,56.7,47.3,14,16.5,33.3,27.2,31.5,25.8,58.3,45.1,35.5,34,31.4,36.9,70.1,2.4
16,BYU,B12,33,23–10,120.2,98.5,0.9087,55.1,48,15.2,16,32.8,24.7,25.3,32.1,58,48.2,34.8,31.8,50.7,34.1,70,2.3
17,Kansas,B12,31,21–10,113.9,93.3,0.9078,53.4,47.6,16.4,16.8,25.3,26.4,32.8,28.5,54.8,45.3,33.3,33.8,29.7,41.1,69.9,3.8
18,Baylor,B12,32,22–10,122.2,100.5,0.9046,55.6,51.3,17.7,17.1,35.1,27.1,40.5,30.9,53.4,51.9,39.4,33.5,38.3,35.5,66.7,4.5
19,Michigan St.,B10,33,19–14,113.6,93.5,0.9034,51.5,48,14.7,18.7,29.9,28.7,29.9,32.6,50.5,47.1,35.9,32.8,30.2,41.3,66.3,-0.19
20,St. John's,BE,33,20–13,119.1,98.1,0.9032,50.9,49.5,15.7,18.5,38.6,30.3,27.3,34.4,50.8,47.9,34.1,35,32.5,35.9,70.2,0.47
21,Wisconsin,B10,35,22–13,120,99,0.9006,52.4,52.2,14.6,16.9,30.5,24.5,33.5,33.2,52.6,50.4,34.8,37.1,35.4,34.4,66,2.9
22,Kentucky,SEC,32,23–9,122.5,101.9,0.8923,57.4,49.5,14.2,16,28.9,30.2,30.4,33.4,54.7,49.8,41.2,32.6,37.3,39.9,73.5,2.8
23,Florida,SEC,35,24–11,119.3,99.4,0.8912,51.5,48.8,15.8,14.5,37.5,28.9,38.6,34.2,51.7,49,34.2,32.2,34.5,32.7,72.6,2.8
24,Texas,B12,32,20–12,118.1,98.4,0.8899,53.7,49,16.6,18.6,30.5,30,30.4,35,53.4,47.4,36.1,34.8,34.9,32.4,68.2,0.7
25,New Mexico,MWC,34,25–9,114.6,95.5,0.8898,51,48,13.9,19.5,33.4,27,33.1,33.5,51.4,49.2,33.4,30.6,29.8,36.6,73.7,1.5
26,Nebraska,B10,33,23–10,115.9,96.9,0.8868,53.2,46.3,15.9,16.4,27.8,30,32.4,27.7,52.8,45.2,35.8,31.9,44.5,41.7,69.6,2
27,Colorado,P12,34,24–10,117.4,98.2,0.8861,55.3,49.3,18.1,15.2,32.4,24,35.3,28.1,53.6,50.1,39.4,31.9,30.4,35.3,68.7,1.7
28,Mississippi St.,SEC,34,21–13,112.3,94.7,0.8765,51.7,47.7,18.7,18.2,35.4,27.6,37.9,32.4,53.4,50.2,32.5,29.4,38.2,41.1,68.1,0.6
29,Villanova,BE,33,18–15,111.1,93.8,0.8752,50.7,48.2,14.5,16.1,25.2,24.4,26.5,25.9,50.4,47.6,34,32.7,48,45,64.3,-1.2
30,San Diego St.,MWC,32,22–10,111.8,94.4,0.8745,49.8,47.2,16,18,32.7,28,37.5,33.3,51.6,48.3,31.3,30.5,37.8,40.5,67.1,2.2
31,Texas Tech,B12,33,23–10,117.2,99.1,0.8732,52.8,49.1,16.5,17,30.2,30.3,34.6,26.6,51.5,49.6,36.5,32.1,41.1,39,67.4,2.8
32,Clemson,ACC,32,21–11,117.2,99.2,0.8722,53.9,48.7,14.9,13.6,27.7,25.2,30.6,31.2,54.4,47.1,35.4,34,40.2,40.6,67.2,1
33,Wake Forest,ACC,33,20–13,116.9,99.4,0.8651,54.7,48.9,15.6,16.2,26.3,26.2,31.5,30.7,54,48.8,37.2,32.6,37.7,34.8,69,-1
34,Ohio St.,B10,33,20–13,115.8,98.8,0.8613,51.2,48.2,15.6,15.9,31.4,29.2,33.9,31.1,51,46.4,34.3,34.7,35.1,33.1,66.4,-0.6
