Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Ohio St.,B10,34,32–2,123.2,90,0.9738,56,48.4,15.8,23.3,35.3,28.1,37.8,20.9,53.2,47.1,41.3,33.9,32.2,34.8,65.6,11.7
2,Kansas,B12,34,32–2,120,89.4,0.967,57.7,44.7,19.1,20.3,36.5,28,40.6,32.8,57.5,44.9,38.7,29.4,32.6,33.6,69.7,10.2
3,Duke,ACC,34,30–4,118.3,88.9,0.9639,53.6,43.8,17.3,21.3,35.4,33.5,37.4,30.2,52.1,42.6,37.5,31.6,35.6,24.2,70.2,9.3
4,Texas,B12,34,27–7,113.7,87.7,0.9521,50.3,42,17.3,19,38.2,30.3,43.2,31.1,48.1,41.5,37.7,29,26,25.6,67,5.4
5,Pittsburgh,BE,32,27–5,119,92.5,0.9477,52.8,45.1,18.3,17.8,42.8,29.1,43.3,32.4,50.6,43.3,39,32.6,27.4,32.4,63.8,7.5
6,Kentucky,SEC,33,25–8,118.4,92.2,0.9467,52.4,44,15.9,18.3,35.2,30.8,37.1,30.7,49,41.6,39.7,33.2,31.9,29.9,66.9,5.2
7,Wisconsin,B10,31,23–8,121.6,95.5,0.9415,52,48.3,12.8,16.8,34.2,27,28,31.4,49.5,45.1,37.1,37.5,40.5,28.7,57.9,5.6
8,Purdue,B10,32,25–7,113.7,89.8,0.9378,50.8,45.8,15.6,21.7,32,30,35.1,31.4,48.7,44.5,36.7,32.8,33,27.4,67.1,7
9,Notre Dame,BE,32,26–6,121.8,96.2,0.9375,54.1,46.7,16.4,15.9,33.8,29.9,45.4,25.5,51.2,43.7,39.2,35,38.4,33,64.6,7.7
10,San Diego St.,MWC,32,30–2,112.3,89.9,0.9289,50.8,43.9,17.2,19.9,37.6,30,32.7,28.9,51.1,43.2,33.6,30.5,30.2,29.7,63.9,8.7
11,Louisville,BE,34,25–9,111.4,89.7,0.9235,52.5,44.5,18.9,23.2,35.2,35,29.8,40,51.5,43.8,36.1,30.6,40.5,33,68,4.6
12,Illinois,B10,32,19–13,113.4,91.5,0.922,52.8,45.4,19.1,18.4,32.1,31.9,28.6,32.5,50.4,45.2,38.7,30.5,31.4,34.8,66.9,1.4
13,BYU,MWC,33,29–4,116.7,94.2,0.9217,51.8,46.5,15.3,20.3,31.5,28.7,39,33.2,50.4,44.7,36.1,33.9,37.1,30.1,71.4,7.2
14,North Carolina,ACC,33,26–7,110.2,89.1,0.9197,49.2,46.1,18.7,19.6,37.2,29.8,37.9,24.8,48.9,44.5,33.3,32.7,25.3,34.8,71.7,7.3
15,Syracuse,BE,32,25–7,113.5,91.9,0.9193,52.8,45.2,18.3,20.7,37,33.5,35.6,29.4,52.5,44.5,35.7,30.8,31.4,39,66.5,6
16,Washington,P10,33,23–10,116.9,94.7,0.9182,53.9,46.1,17,20.5,38,31.8,32.5,44.5,52.9,45.2,37.1,32.2,36.8,28.1,72.2,1.7
17,West Virginia,BE,31,20–11,113.3,93.3,0.9031,48.4,45.6,18.9,18.9,40.5,35.6,40.7,35.4,47.4,46.5,33.5,29.1,33.7,32.2,63.5,2.9
18,Connecticut,BE,35,26–9,113.8,93.9,0.9005,48.1,45.3,17.5,18.1,39.5,34.7,34.3,27.4,47.5,43.1,33.2,33.5,29.3,31.1,66.2,6.8
19,UNLV,MWC,32,24–8,109.6,90.7,0.8986,51,45.4,18.7,24,33.5,31.9,39.2,39.9,51.6,43.8,33.1,32.4,30,33.3,68.1,2.8
20,Arizona,P10,34,27–7,115.7,95.7,0.8985,54.4,48.4,18.9,18.7,33.3,29,44.1,36.3,51.2,50.5,39.9,28.8,36.8,28.5,66.5,4.6
21,Utah St.,WAC,32,29–3,109.3,90.7,0.895,52.2,43.3,18.4,18.9,34.2,25.7,43.4,34,51.5,42.4,35.8,30,31.2,33.4,63.3,3.8
