Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Gonzaga,WCC,33,32–1,119.8,88,0.972,58,41.6,15.9,17.7,29.9,25.4,38.2,26,58.4,40,38.2,30,32.6,31.8,71.8,7.8
2,Villanova,BE,34,31–3,122.2,92.2,0.9622,57.9,48.1,17.1,20.2,29.6,27.6,35.3,21.8,59.7,48.9,37,31.3,44.1,40.2,65.8,11
3,Virginia,ACC,32,22–10,114.1,86.7,0.9591,52.9,45.7,15.6,21,28.7,24.2,25.7,34,50,45,39.3,31.2,33.2,39.7,60.3,5
4,Kentucky,SEC,34,29–5,119.2,91.5,0.9545,53.2,47.4,16,19.4,34,27.2,41.7,34.7,53.4,48,35.3,30.7,31.6,32.7,74.6,9
5,North Carolina,ACC,33,26–7,121,93.1,0.9531,52.3,48.5,16.4,18.7,42,25.1,33.1,31.4,51.1,46.7,36.7,34.2,30,39.4,72.7,8.3
6,Florida,SEC,32,24–8,115.7,89.3,0.9516,51.5,45.6,16.6,21.1,31.9,29.2,40.4,33.9,49.9,45.5,36.3,30.7,36.2,31.5,70.4,6.3
7,Louisville,ACC,32,24–8,116.2,89.7,0.9515,51.4,45.1,16.1,19.8,36.3,28.7,34.8,39.8,50.2,44.4,35.9,30.9,32.4,35.6,69.7,6.8
8,West Virginia,B12,34,26–8,116.1,89.8,0.9506,51.8,48.7,16.9,28.1,37.7,32.4,38.2,42.2,50.6,46.6,36.1,34.9,33,36.3,72.5,6.3
9,Duke,ACC,35,27–8,121.1,94.9,0.9427,54.8,47.5,16.2,17.2,31.5,29.4,38.9,30.9,53.8,48.8,37.6,29.5,37.7,28.3,69.6,8.5
10,Kansas,B12,32,28–4,120.4,94.4,0.9425,55.9,47.9,18.1,18.6,34.3,30.4,36.8,30.8,53.2,45,40.5,35.7,35.5,33.4,71.6,10.9
11,SMU,Amer,34,30–4,118.8,93.7,0.9389,54.7,45.7,17,18.3,37.5,26.3,36.5,24.5,51.2,43.5,40.6,32.2,36.3,45.3,65,6.5
12,Wichita St.,MVC,33,29–4,116.9,92.8,0.934,54.7,43.9,15.9,19.8,33.9,24.2,40.9,35.2,51,42.3,40.7,31,36.4,38.8,70.5,4.2
13,Purdue,B10,32,25–7,116.1,92.3,0.9334,55.7,46.7,18.4,17,30.9,24.5,34.3,22.7,52.5,45.8,40.6,32.3,38,33.2,70.5,5.6
14,Saint Mary's,WCC,32,28–4,118.3,94.2,0.9317,57.9,45.2,17.3,15.4,33.4,21.4,26.6,25.5,56.5,45.1,39.9,30.3,41.6,28.2,60.8,4
15,Baylor,B12,31,24–7,116,92.5,0.931,52.7,45.2,20.7,16.9,40,29.7,34.2,30.4,52.5,44.2,35.3,31.4,33.9,34.4,64.8,7.8
16,Cincinnati,Amer,34,29–5,113.6,91.2,0.9259,51.7,44.7,15.2,20.8,35.8,29.6,32.5,29.6,51.8,41,34.3,34.1,36.4,36.8,65.7,5.7
17,Michigan,B10,35,24–11,121.6,97.9,0.9236,56.9,51.7,14.6,20.1,25.3,29.4,30.5,27.5,56.7,49.7,38.1,37.8,45.1,28.7,64,3.8
18,Wisconsin,B10,34,25–9,113.5,91.5,0.9225,51.7,47.3,16.8,19.9,35.5,25.4,32,26.4,50.8,42.6,35.5,37.7,36.7,33.4,64.5,5.1
19,Notre Dame,ACC,34,25–9,119.5,96.4,0.9222,54,49,13.9,18.8,27.4,31,28.2,26.6,51.3,48.1,38.6,33.7,40.8,34.5,68.5,5.9
20,Oregon,P12,33,28–5,116,93.7,0.9206,55.6,46.1,17,20.1,32,29.8,34.4,26.6,54.8,45.8,37.9,31.1,39.1,37.2,68.5,6
21,Iowa St.,B12,33,23–10,118.1,95.6,0.9187,54.8,49,14.1,20,26.1,32,27.6,25.7,51.2,47.1,40.2,34.8,39.5,35.6,69.6,6.4
22,Oklahoma St.,B12,31,19–12,125.1,101.4,0.9175,53.8,52.8,18.3,20.8,38,32.2,37.8,45.6,50,52.5,40.3,35.5,36.1,34.3,73,3.3
23,Arizona,P12,34,30–4,116.3,94.3,0.9173,53.7,47.1,17,17.7,33.3,26.2,41,29.2,51,47.9,39.8,30.6,30.8,36.6,67,7.9
24,Florida St.,ACC,33,25–8,116,94.3,0.9154,53.9,47.4,16.3,19.8,34,30.4,37.7,37.3,54.1,45.1,35.6,34.4,31.3,36.1,72.6,5.9
25,UCLA,P12,33,29–4,121.7,99.2,0.913,59.5,48.4,15.4,16.2,29.4,28.3,26.9,25.8,58.8,45,40.5,36.2,37.6,36,75.4,6.7
26,Creighton,BE,33,24–9,115.6,95.3,0.9023,58,50,17.1,19.6,24.1,29.7,27.9,28.6,56.7,49.9,40.1,33.4,35.9,36.8,72.6,4.2
27,Butler,BE,31,23–8,117.5,97,0.9014,54.6,50.7,15.1,20.1,28.1,27.8,36.2,37.5,54.6,51,36.3,33.4,37.5,37.6,67,5.5
28,Miami FL,ACC,32,21–11,110.7,92.3,0.8904,51.2,47.2,19.6,18.3,33.7,27.9,34.3,28.8,49.9,45.9,35.9,33.1,32.7,34.6,64.7,2.9
29,Kansas St.,B12,33,20–13,111.5,93.3,0.8863,52.4,48.9,19.2,22.4,29.5,32.5,40.6,32.2,51.5,44.6,36.1,38.3,36.4,33.8,67.3,1.6
30,Marquette,BE,31,19–12,121.4,101.6,0.8853,57.6,51.9,17.1,18.5,27.3,28.9,31.1,35.9,52.7,50.2,43,36.9,41.1,34.1,71.5,0.6
31,Wake Forest,ACC,32,19–13,121.4,101.8,0.8837,54,52.2,16.5,16.1,30.9,27.6,40.2,37,51.9,51.3,38.7,35.7,35.2,38.9,72,1.3
32,South Carolina,SEC,31,21–10,105.2,88.3,0.8822,46.7,45,19,24.5,33.8,31.6,39.9,46.7,45,45.3,33.4,29.6,33.7,33.9,69.6,1.7
33,Vanderbilt,SEC,34,19–15,112.8,95.2,0.8751,52.3,47.9,18.3,16,25,27.1,34.9,30.6,48.3,46.7,37.7,33.6,48.6,33.2,67,0.08
34,Minnesota,B10,33,24–9,108.3,91.8,0.8692,48.6,44.9,16.2,17.7,30.1,30,39.5,28.7,47.3,44.5,34.5,30.5,29.7,33.5,70.9,3.7
35,Xavier,BE,34,21–13,114.5,97.3,0.8658,51.6,51.8,18.6,17.8,35.2,25,41.2,33.7,52,52.5,34,33.8,36.4,39.2,68.7,1.6
36,Northwestern,B10,34,23–11,111.1,94.7,0.8626,49.7,46,15.9,18,30.9,30.7,30.8,35.5,48.9,43.9,34.1,33.5,35.8,34.4,66.7,2
37,Clemson,ACC,32,17–15,115.6,98.6,0.8624,51.3,51.9,15.8,20.1,31.6,31.9,35,24.1,50.1,51,35.7,35.7,34.7,36.8,67.8,-0.34
38,Indiana,B10,33,18–15,116.2,99.6,0.8549,55.6,48.5,21.4,15.8,36.5,28.1,34.2,36.7,54.4,47.5,38.3,33.6,38.9,34.2,69.7,-1.1
39,Illinois St.,MVC,32,26–6,106.4,91.2,0.8548,51.3,43.7,19,19,30.3,28.2,30.7,33.2,48.9,41.2,36.4,31.7,41.3,38.7,66.2,1.9
40,Maryland,B10,31,23–8,113,97.3,0.8478,52.6,47.1,19.1,17.9,30.6,32.3,38.6,32.2,50.9,45.3,36.7,34,40.8,32.5,68.6,3.7
41,Rhode Island,A10,33,24–9,110.2,94.9,0.8477,50.7,44.7,16.6,19.5,33.1,29.3,39.6,45.4,50.5,45.3,34,29,32,29.8,67.8,0.48
42,Houston,Amer,31,21–10,113.6,97.9,0.8468,51.7,47,14.9,20.9,32.1,31,28.6,36.2,47.7,45.8,39.2,32.7,36.1,38.4,66.5,-0.8
43,Michigan St.,B10,33,19–14,109.7,94.6,0.8461,53.9,46.3,20.7,16.1,29.3,27.3,33.8,35.1,52.4,43.5,37.6,34.7,37.9,32.7,68.2,0.38
44,Syracuse,ACC,32,18–14,115.3,99.7,0.8416,53.3,50,17.8,19.8,31.3,34.4,34.8,30,50.6,49.2,38.2,34.1,40.4,42.5,68,-1.1
45,Virginia Tech,ACC,32,22–10,116.5,101.4,0.8311,57,50.9,17.2,16.6,23.4,29.9,40.5,26.9,54.8,49.1,40.3,36,39.9,35.4,70.1,3.3
46,Texas Tech,B12,32,18–14,111.6,97.2,0.8305,52.9,50.8,16.5,20.3,30,25.7,35.6,35.6,51.9,48.9,36.7,35.5,32.5,42.5,65.2,-1.2
47,Middle Tennessee,CUSA,33,29–4,110.4,96.3,0.8279,54.3,47.4,15.6,20.2,30.2,24.3,29.7,37.9,53.8,46.8,37,32.5,30.3,35.4,65.7,2.2
48,TCU,B12,33,18–15,111.9,97.7,0.8269,52.4,50.4,19,18.5,33.5,29.9,32.7,31.3,52,48.7,35.5,35.9,34.7,32.9,68.2,0.13
49,Dayton,A10,30,23–7,110.5,96.5,0.8252,54.2,47.7,17.1,20.8,25.8,27,43.7,34.6,51.8,47.2,38.7,32.4,38.4,39.4,69.8,1.6
50,Utah,P12,29,18–11,112.9,98.8,0.8238,56.5,49.1,19.1,17.2,30.9,24.5,33.4,31.3,57.4,46.5,36.3,36.1,32.3,34,69.7,-2.2
51,Arkansas,SEC,34,25–9,115.4,101.1,0.8195,51.5,48.2,16.4,18.3,32.4,33.5,38.8,39.3,50.2,47.2,36.4,33.2,29.8,37.4,70.9,3.9
52,Tennessee,SEC,31,15–16,110.2,96.7,0.8178,46.8,48.6,17.4,19.3,31.8,30.1,42.9,43.3,46,46.2,32.4,35.5,30.6,33.4,70.8,-2.3
53,Georgia,SEC,32,18–14,107.7,94.7,0.8143,48.2,46.8,18.9,16.7,29,28.3,41.5,34.5,48.2,45.2,32.1,33.1,28,35.8,68.6,0.22
54,Providence,BE,32,20–12,107.4,94.5,0.8125,51.3,49.7,18.5,20.5,26.4,28.1,38.2,30,49.1,50,36.8,32.7,35.8,34.3,67.9,0.6
55,Alabama,SEC,33,19–14,104.2,91.9,0.8094,48.3,45.7,20.3,19.8,34.1,26.8,39.9,40.5,48.6,43.7,31.8,33.1,37.1,34,66.6,-1.9
56,Seton Hall,BE,32,21–11,108.6,95.8,0.8082,50.2,49,19.4,17.6,35.3,25.4,37.9,36.1,50,48,33.7,34,30.9,34.3,68.8,2.6
57,California,P12,33,21–12,103.9,91.7,0.8077,48.4,45.2,18.7,16.6,33,23.7,36.8,33.4,47,43.5,34,32.4,34.7,32.4,66.9,-0.9
58,Texas A&M,SEC,31,16–15,108.4,96.2,0.7974,51.2,47.2,21.2,17.4,37.4,31.2,33.3,28.1,52.1,43.7,32.9,35.2,32.7,38.7,65.8,-2.9
59,VCU,A10,34,26–8,107.9,95.8,0.797,51.1,47.1,17.9,21,31.4,27.5,36.3,39.8,51.5,45.5,33.4,33.8,29.7,31.3,69.8,1.4
60,Nevada,MWC,34,28–6,113.5,101.1,0.7905,52.7,47.9,15.7,15.9,30.6,26.2,41.8,28.1,49.3,48.9,38.5,30.7,40.2,35.4,71.1,1.8
61,Oklahoma,B12,31,11–20,106.7,95.2,0.7883,47.4,50,19,18.5,30.8,29.8,36.7,33.5,45.7,47.1,34.3,36.5,30,37.9,71.5,-4.6
62,UNC Wilmington,CAA,32,27–5,117.1,104.6,0.7854,55.2,53.1,13.9,20.3,32.5,28.8,30.9,39.4,56.1,54.2,36,33.7,41.8,29.4,71.4,1.7
63,Princeton,Ivy,28,22–6,108.1,96.6,0.7848,53.5,48.9,15.2,20.6,24.2,24.7,24.9,31.7,50.4,47.2,38.1,34.4,45.9,37.3,64.3,-0.29
64,Ohio St.,B10,32,17–15,110.8,99.1,0.7832,52.2,48.9,19.2,17.5,29.7,28.8,38.1,29.4,51.6,45.7,35.6,35.6,33.1,41,69.4,-3.1
65,UCF,Amer,32,21–11,102.5,91.7,0.7818,50.4,42.3,22.1,14.8,33,25,39.8,23,49.4,39.6,34.7,31,39.3,39.4,67,-1.7
66,USC,P12,33,24–9,111.2,99.6,0.7801,51.9,49.7,15.7,18,30.8,31.2,37.2,23.9,50.5,46.8,36.3,36.5,36.1,36.5,70.5,1.4
67,Georgetown,BE,32,14–18,107.6,96.5,0.7777,52,47.4,20.1,17.3,29,30.5,42.6,38.8,51.8,46.8,34.9,32.4,33.7,32.4,70.3,-4.6
68,Pittsburgh,ACC,33,16–17,113,101.6,0.7713,51.4,51.3,17.6,14.3,28.2,29.5,39.4,26.6,49.6,50.2,36.1,35.6,39.9,36.2,67,-2.1
69,Vermont,AE,33,28–5,109.5,98.6,0.7701,55.4,48.2,17.1,19.7,30.1,26.9,34.9,26.6,55.6,46.7,36.7,34.5,31.5,30.3,65.9,0.9
70,Iowa,B10,32,18–14,111.4,100.6,0.7633,51.7,50.9,18.4,19.5,31.5,32.5,35.4,27.1,49.3,49.5,37.1,35.5,37,37.1,72.9,-1.8
71,East Tennessee St.,SC,32,25–7,106.9,96.8,0.7592,56.1,48.5,20.6,22,30,27.1,43.8,37.8,55.4,45.3,38.2,35.6,35.2,39.4,71.6,-0.6
72,San Diego St.,MWC,32,18–14,103.8,93.9,0.7586,47.5,44.8,17.5,19,30.5,29.1,35.3,32.4,47.5,42.9,31.6,32.1,39.8,36.3,66.1,-5.9
73,Texas,B12,33,11–22,103.2,93.6,0.7545,48.8,48.1,19.6,18.3,28.4,31.2,34.5,30,51.3,47.7,29.2,32.5,33.6,34.7,69,-5.8
74,BYU,WCC,33,22–11,108.3,98.3,0.7532,51.2,47.4,18.1,16.4,28.8,24.9,42.2,31.5,50.9,46.8,34.4,32.3,31.9,38.8,77.3,-2.3
75,Davidson,A10,32,17–15,108.8,98.9,0.7497,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,46,33.7,69.7,-5.2
76,Auburn,SEC,32,18–14,111.3,101.8,0.7354,51.1,50.6,17.9,19.9,30.3,33.3,42.5,38.8,48.5,48.7,36.6,35.7,40.1,38.8,75.2,-2.4
77,Mississippi,SEC,33,20–13,109.1,99.9,0.7327,48.4,49.6,19.3,18.9,33.6,30.1,44.7,36.6,46.4,46,34.4,36.7,37.3,39.8,72.8,-1.3
78,Illinois,B10,31,17–14,105.9,97.1,0.7305,50.8,50.4,18.4,18,28.8,26.6,33,29.9,49,49.6,36,34.5,35.4,36.3,67.8,-1.4
79,Colorado,P12,32,18–14,110.1,101.2,0.7259,51,49.9,17.6,17.2,32.9,28.3,38.6,33,49.8,47.2,35.4,36.3,35.4,37.7,69.4,-3.7
80,San Francisco,WCC,31,19–12,104.1,95.7,0.7238,52.9,47.5,18.5,19.3,26.4,27.5,27.7,33.7,52.6,46.1,35.4,33.5,44.3,32.8,70.3,-4.3
81,Bucknell,Pat,34,26–8,107.5,99.5,0.7089,55.4,48,18.8,19.7,26.8,27.4,37.2,32.7,54.6,46.5,37.7,34,38.6,31.8,71.3,-2
82,Boise St.,MWC,29,18–11,109.5,101.3,0.7083,52.2,48.2,17.9,16.5,27.8,26.3,41.3,42.7,51.4,47,35.6,34.2,40.6,29.7,70.6,-3.1
83,Colorado St.,MWC,32,21–11,107.4,99.4,0.7077,48.4,46.4,16,16.9,31,28.8,38.1,32.3,46.4,46.4,34.5,30.8,36.4,39.9,67.5,-2.7
84,UT Arlington,SB,31,23–8,108.3,100.3,0.7073,52.1,48.8,19,19.8,33,29.3,35.3,35.5,54.1,49.7,32.9,31.8,42,44.4,71.5,-0.9
85,Louisiana Tech,CUSA,31,21–10,106.4,99.2,0.6902,53.4,48,17.7,19.4,29.2,26.2,34.6,26.9,52,45.8,37.1,34.7,36.7,34.1,70,-4.7
86,New Mexico St.,WAC,30,25–5,109,101.8,0.6879,52.8,47.4,19.7,19.2,36,28.3,44.1,35.3,54.5,48.7,33.4,30,39.1,33.2,68.9,-0.13
87,Monmouth,MAAC,33,27–6,106.4,99.4,0.6877,50.8,46.7,16.7,19.5,29.9,29.8,38.2,35.7,47.8,44.8,37,33.1,37.7,38.1,73.8,0.7
