Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Florida,SEC,33,26–7,117.6,85.6,0.9749,55.8,42.7,17.7,22.4,34,28.6,29.1,30.2,54.9,41.5,38,30.1,40.5,33.1,62.7,4.2
2,Indiana,B10,33,27–6,122.5,89.9,0.9721,55.2,44,19.1,21.2,39.7,31.5,46,27.7,52.2,43,41.1,30.6,32.1,32.9,68.1,7.7
3,Louisville,BE,34,29–5,112.6,83.5,0.9686,49.5,44,18.7,27.6,38.4,33.7,38.8,33.7,49.5,42.7,33.1,31.2,30.3,33.5,67.5,9
4,Gonzaga,WCC,32,30–2,119.4,90.3,0.9615,55.5,44.2,17.1,20.9,37.4,30.2,41,29.5,55.9,42.1,36.4,31.8,31.1,38,65.2,7.8
5,Kansas,B12,34,29–5,112.3,86,0.9554,53.4,41.5,19.9,18.7,34.3,28.8,39.7,33.1,52.7,39,36.7,30.7,29.6,36.2,67.7,7.5
6,Duke,ACC,32,27–5,118,91.3,0.9502,54.4,45.7,15.6,20.9,29.4,32.9,37.7,31.4,51.1,46.3,40.6,29.3,33.3,26.8,68.1,7.6
7,Ohio St.,B10,33,26–7,113.4,89.3,0.9397,50.8,45.2,16.6,20.7,32.2,27.6,34.2,28.4,50,43.6,35.1,32,31.1,35.7,65,7.2
8,Michigan,B10,32,25–7,120.4,95,0.9385,54.4,47.9,14.3,18.9,32.5,29.6,28.7,22.9,53.5,46.9,37.5,33.2,34,35,64.8,6.2
9,Wisconsin,B10,34,23–11,108.4,85.7,0.9371,49.2,43,15.6,18,32.6,26.7,29.9,25.6,48.5,42.7,33.4,29.2,39.7,24.8,62.1,4.6
10,Syracuse,BE,35,26–9,113.4,89.9,0.9358,49.2,43.6,19.1,23.4,39.8,34.4,35.3,35.5,48.8,42.9,33.4,29.8,31,39.8,65.7,5.1
11,Georgetown,BE,31,25–6,106.8,84.6,0.9357,51.4,42.8,20.1,22.6,30.6,31.3,37,33.6,50.4,41.3,35.8,30.5,32.6,34.1,62.1,6.5
12,Pittsburgh,BE,32,24–8,114.1,91.3,0.9287,52.2,44.7,17.9,22.2,40.8,29.8,37.5,34.9,51.6,43.6,36,31.2,26.1,35.2,60,3.1
13,Michigan St.,B10,32,24–8,110.4,89.1,0.9218,50.7,45,20.5,19.7,35.5,28.3,36.7,32.6,50.4,44.8,34.4,30.2,27.3,33.8,64.6,6.7
14,Creighton,MVC,34,27–7,118,95.5,0.9187,59.1,45.9,18.8,16.2,29.2,27,33.6,25.8,56.4,45.4,42.1,31.3,39.6,33.1,65.3,3.6
15,VCU,A10,34,26–8,113.4,92,0.9172,51.3,50,17.1,28.6,37,34.7,30.6,41,50.4,49.7,35.2,33.6,36.2,33,68.3,2.7
16,Miami FL,ACC,33,27–6,110.9,90,0.9168,52.3,45.6,16.9,18.4,30.8,27.9,35.2,28.8,51.5,43.8,35.8,32.6,34.9,34.9,63.2,6.4
17,Minnesota,B10,32,20–12,112.7,92,0.9122,49.1,45.4,21.7,20.1,44.1,32.9,41.9,35.3,49.1,42.6,32.6,33.9,29.6,34.3,64,2.1
18,Arizona,P12,32,25–7,113,92.4,0.9097,51.9,47,19.5,20.5,35.4,27.2,37.4,32.1,50.3,44,36.3,36,37.9,30.4,67,4.6
19,Oklahoma St.,B12,32,24–8,107.9,88.4,0.9075,48.9,44.5,18.1,21.5,31.8,30.7,40.8,35.1,49.6,42.5,31.6,32.2,31.2,34.2,67.3,3.2
20,Saint Louis,A10,33,27–6,107.9,88.6,0.9061,50.7,45.6,17.6,23.4,28.1,28.3,44.7,35.6,50,44.3,34.7,32.8,34.3,26.8,64.7,3.9
21,Marquette,BE,31,23–8,113.3,94.1,0.8943,50.7,46.2,21,19.9,37.8,33.2,41.4,31.5,52.8,45.3,30.1,31.8,26.9,35.5,64.9,4.5
22,Kansas St.,B12,33,26–7,112.1,93.7,0.8865,49.2,47.4,18.2,22.4,38.5,34,31.8,36.9,46.8,46.5,35.9,33.1,33.2,28.9,63.2,5.4
23,Cincinnati,BE,33,22–11,105.1,88.1,0.883,46.2,43.1,19.5,20.1,38.8,29.9,36.2,32.1,45.3,42.2,31.7,30,37.3,30.2,65.5,1.7
24,Saint Mary's,WCC,32,26–6,115,96.6,0.8808,54.3,47.2,18.4,17.8,37.2,25,36.9,37.6,53.2,43.9,37.3,36.9,38.1,28.8,65.2,2.7
25,San Diego St.,MWC,30,20–10,105.5,88.7,0.8802,48.5,44.1,17.9,18.3,31.5,28,36,29.7,48.4,42.4,32.4,31.9,32.4,32.3,67,0.49
26,Notre Dame,BE,34,25–9,114.5,96.3,0.8795,52.3,46.5,17.4,16.2,34.1,29.8,32.2,24.7,50.5,45.7,37.3,32.2,31.9,29,61.6,3.8
27,Iowa,B10,32,20–12,107.6,90.6,0.8785,46.6,43.4,18.8,19.4,36.4,31.1,41.6,30.8,47.9,43.1,29.2,29.3,30.4,33.6,67.9,0.03
28,Missouri,SEC,33,23–10,112.9,95.2,0.8777,51.3,45.9,19.3,17.5,39.5,28.3,35.1,28.8,51.4,44,34,32.9,31.3,35.1,67.6,1.3
29,Virginia,ACC,32,21–11,106.7,90,0.8771,51.5,44.4,17.7,20.7,28.5,27.3,29.1,31.8,48.8,43.2,38.5,31,30.7,34.6,60.3,-1.4
30,UNLV,MWC,33,24–9,105.6,89,0.8771,49.3,44,20.3,18.6,33.5,27.2,36.5,29.7,49.4,42.6,32.7,31.3,34.7,32.1,69.3,1.8
31,Colorado St.,MWC,31,23–8,115.5,97.4,0.876,48.9,48.2,16.7,16.9,41.8,23.3,43.3,36.6,48.4,46.6,33.4,33.9,27.3,37.6,64.8,2
32,North Carolina,ACC,33,23–10,110.7,93.5,0.875,49.5,48,17.1,21.2,35.1,30.9,28,26.7,46.9,45.9,37,34.9,30.7,32.6,71.4,2.6
33,Memphis,CUSA,34,30–4,107.3,90.8,0.8719,53.2,45.6,20.8,22,36.2,30.6,37.9,35,51.8,43.5,37.9,33.5,28.3,30.5,69.5,4.7
34,N.C. State,ACC,34,24–10,115.6,98.1,0.8674,54.1,46.6,17.9,16.9,34.9,33,41.2,28.1,52.5,47.4,39.3,29.9,23.7,32.2,68.2,2.2
35,Wichita St.,MVC,34,26–8,107.8,91.6,0.8668,50.2,46,19.8,20.4,38,25.3,35.8,37.4,50.1,44,33.7,33,35.2,36.2,64.8,2.3
36,New Mexico,MWC,34,29–5,106.4,90.6,0.8637,48.7,45.5,17.6,19.5,28.9,27.8,45.8,25.2,46.2,41.7,35.4,34.3,35,39.1,65.5,7
37,Iowa St.,B12,33,22–11,115.5,98.5,0.8617,53.6,47.8,18.6,18.5,34.6,28.9,33.1,32.4,52.1,48.6,37,30.7,43.9,33.2,69.6,0.7
38,Illinois,B10,32,20–12,110.1,94,0.8607,47.9,49,17.6,21.9,33.4,33.2,31.2,36.6,47.6,47.8,32.1,34.2,40.9,35.4,66.4,2.4
39,Butler,A10,33,25–8,109.4,93.7,0.8562,51,46.9,20.5,17.3,36.2,26,38.1,36.5,50.7,45.6,34.3,33.1,35.7,30.8,64.4,4.8
40,UCLA,P12,34,25–9,110.9,95,0.8553,49.5,47.1,15.7,20,30.2,34,32.9,24.4,49.1,46.9,33.9,31.9,23.8,30.9,69.5,3.3
41,Oregon,P12,34,26–8,103.8,89.2,0.8508,49.1,46.3,21.3,22.3,36.1,27.8,39,32.7,49.4,44.2,32.3,34.3,27.4,29.6,69.2,2.9
42,Middle Tennessee,SB,33,28–5,105.2,90.4,0.8505,51.3,44.1,20.8,23.9,37,29,42.2,42.5,49.4,43.9,37.8,29.6,26.2,31.8,65,1
43,Colorado,P12,32,21–11,105.8,91,0.8485,48.6,46.1,19.9,19.4,33.9,30.5,41.4,24.7,47.2,44.9,34.7,32.3,28.7,35.9,65.6,1.4
44,Stanford,P12,32,18–14,108.3,93.3,0.847,47.7,46.9,17,19.3,32.2,28.5,34.1,33.6,44.9,45.8,35.8,33.5,32.5,25.7,68.2,-2.2
45,Kentucky,SEC,32,21–11,109.9,95,0.8422,52.6,43.7,19.2,17.6,34.6,31.3,41.6,30.2,52.7,41.7,34.9,32.5,29.4,28.2,67.9,-0.13
46,Connecticut,BE,30,20–10,108.7,94,0.8417,50,45.3,18.2,20.1,28.5,36,36.9,31,49.5,44.4,34,31.5,34.1,31,65.3,1.5
47,Villanova,BE,32,19–13,105,91.2,0.8359,47.3,46.9,22.9,21.9,32.8,29.7,51.3,40.5,45.6,42.3,33.7,36.8,35.3,35.7,67.8,0.3
48,Oklahoma,B12,31,20–11,109.5,95.1,0.8347,47.9,47.4,17.6,19.7,33.6,31.4,36.1,31.5,47.5,46.5,32.6,32.7,26.4,34.5,66.9,0.38
49,La Salle,A10,30,21–9,109.8,95.5,0.8337,51.5,49.2,17.3,22,29.6,32.9,31.5,28.6,49.1,50.6,37.1,29.9,35.7,24.4,66.6,0.47
50,Baylor,B12,31,17–14,110.1,95.7,0.8333,50.5,46.2,17.8,19,34.2,33.1,34.7,33.5,50.2,45.1,34.1,32.7,34.3,28.9,67.4,-2.5
