Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
1,Memphis,CUSA,34,31–3,109.4,81.8,0.966,49.3,40.4,18.2,23,38.2,30.3,39.7,34.3,49.9,39,32,29.3,31,28.4,67.8,7.1
2,Pittsburgh,BE,31,27–4,121,91.6,0.9608,53.4,47,18,19.7,43,29.4,31.9,30.6,53.3,45.3,35.7,33.5,28.6,33.3,66.4,8.6
3,Connecticut,BE,31,27–4,114.7,87.1,0.9593,51.1,42.5,18.2,17.3,39.9,31.3,45.1,19.3,50.8,40.5,34.7,31.3,23.5,30.5,68,8.8
4,North Carolina,ACC,31,27–4,121.8,93.1,0.9564,52.7,47.2,17.1,20.7,40.5,31.9,39.3,25.1,51.5,44.7,37.3,35,27.7,32.7,74.5,7.7
5,Louisville,BE,33,28–5,109.9,84.6,0.9528,51.9,44,19.7,23.6,34.7,31.8,32.2,31.4,50.5,43.2,36,30.4,37.6,30.4,68.7,8.1
6,Gonzaga,WCC,30,25–5,114.6,88.9,0.9491,55.1,42.8,16.5,22.1,31.4,30.5,34.6,29.3,52.9,38.6,39.9,33.7,31.7,35.5,69.1,4.5
7,Duke,ACC,34,28–6,116.7,90.5,0.9487,50.9,47.4,17.7,23.6,37.7,33.2,41.1,30.9,50.2,46.1,34.9,34.1,35,25.8,68.3,7.9
8,UCLA,P10,33,25–8,119.9,93.3,0.9472,56,49.8,18.8,24.3,37,31,30.3,34.9,54.1,48,39.8,36.2,33.1,29,66.6,4.5
9,West Virginia,BE,34,23–11,113.7,88.9,0.9441,48.6,46.4,18.2,23.6,41,31.4,35.5,38.3,48.1,47.1,33.1,30,33.8,30.3,65.8,3.9
10,Missouri,B12,34,28–6,114.5,90.2,0.9397,52.8,46.2,17,26,35,34.2,36.6,39.3,52.4,46.3,35.8,30.8,31.7,30.6,71.9,6.1
11,Kansas,B12,32,25–7,114.4,90.6,0.936,53.6,44.6,20.9,19.7,37,29.1,40.2,36.6,52.1,41.6,38,33.5,30.1,34.5,68.2,5.4
12,Arizona St.,P10,33,24–9,117.2,92.9,0.9353,56.3,46.6,18.7,19.7,29.9,30.3,38,30.4,57.5,46.3,36.6,31.4,44.7,36.6,60.9,4.7
13,Oklahoma,B12,32,27–5,117.6,94,0.9294,55,45.8,19.8,18.2,36.6,31.6,46.8,29.9,55.8,42.9,35.8,34.1,34.6,35.3,68.6,7.4
14,Purdue,B10,34,25–9,108.9,87.1,0.9283,50.7,43.9,17.6,22.8,29.4,31.4,33.4,31,49.7,41.6,35.1,32.8,34.4,31.1,67.8,3.9
