Team,Seed
Kentucky,1
Duke,1
Wisconsin,1
Arizona,2
Villanova,1
Virginia,2
Gonzaga,2
Utah,5
North Carolina,4
Notre Dame,3
Oklahoma,3
Michigan St.,7
Baylor,3
Wichita St.,7
Lousiville,4
Kansas,2
Northern Iowa,5
Iowa,7
Iowa St.,3
Ohio St.,10
Butler,6
Xavier,6
Texas,11
Georgetown,4
Providence,6
San Diego St.,8
Brigham Young,11
West Virginia,5
Arkansas,5
SMU,6
N.C. State,8
Maryland,4
Purdue,9
St. Johns,9
Davidson,10
Georgia,10
Indiana,10
Cincinnati,8
LSU,9
VCU,7
Oklahoma St.,9
UCLA,11
Oregon,8
Boise St.,11
Dayton,11
Stephen F. Austin,12
Mississippi,11
Georgia St.,14
Buffalo,12
Valparaiso,13
UC Irvine,13
Harvard,13
New Mexico St.,15
Wofford,12
Northeastern,14
Wyoming,12
Albany,14
Eastern Washington,13
UAB,14
Belmont,15
Coastal Carolina,16
Manhattan,16
North Florida,16
North Dakota St.,15
Robert Morris,16
Lafayette,16
Texas Southern,15
Hampton,16
