Team,Seed
Villanova,1
Virginia,1
Duke,2
Purdue,2
Cincinnati,2
Kansas,1
Michigan,3
West Virginia,5
Michigan St.,5
Michigan St.,3
Xavier,1
North Carolina,2
Tennessee,3
Gonzaga,4
Texas Tech,3
Ohio St.,5
Florida,6
Huoston,6
Butler,10
Kentucky,5
Clemson,5
Seton Hall,8
Creighton,8
TCU,6
Wichita St.,4
Auburn,4
Texas A&M,7
Florida St.,9
Miami FL,6
Kansas St.,9
Virginia Tech,8
Texas,10
Arizona,4
San Diego St.,11
Arkansas,7
Loyola Chicago,11
Nevada,7
Missouri,8
Oklahoma,10
Syracuse,11
Davidson,12
N.C. State,9
Arizona St.,11
Alabama,9
Providence,10
South Dakota St.,12
Rhode Island,7
UCLA,11
New Mexico St.,12
Buffalo,13
St. Bonaventure,11
Murray St.,12
UNC Greensboro,13
Montana,14
Stephen F. Austin,14
Georgia St.,15
Bucknell,14
Penn,16
Marshall,13
Charleston,13
Wright St.,14
Lipscomb,15
Iona,15
UMBC,16
Cal St. Fullerton,15
Radford,16
Texas Southern,16
LIU,16
