Team,Seed
Ohio St.,1
Kansas,1
Duke,1
Texas,4
Kentucky,4
Pittsburgh,1
Wisconsin,4
Notre Dame,2
Purdue,3
San Diego St.,2
North Carolina,2
Illinois,9
Connecticut,3
Louisville,4
Syracuse,3
Brigham Young,3
Florida,2
Washington,7
West Virginia,5
Arizona,5
Kansas St.,5
Utah St.,12
Clemson,12
Cincinnati,6
Nevada Las Vegas,8
Michigan,8
Gonzaga,11
St. John's,6
Florida St.,10
Vanderbilt,5
Marquette,11
Belmont,13
Villanova,9
Butler,8
Georgetown,6
Temple,7
George Mason,8
Missouri,11
Georgia,10
UCLA,7
Penn St.,10
Southern California,11
Xavier,6
Richmond,12
Tennessee,9
Michigan St.,10
Old Dominion,9
Texas A&M,7
VCU,11
Oakland,13
UAB,12
Princeton,13
Wofford,14
Memphis,12
Indiana St.,14
Bucknell,14
Morehead St.,13
Akron,15
LIU,15
Northern Colorado,15
Saint Peter's,14
UC Santa Barbara,15
UNC Asheville,16
Boston University,16
UTSA,16
Little Rock,16
Hampton,16
Alabama St.,16
