Team,Seed
Michigan,1
Arizona,1
Duke,1
Florida,1
Houston,2
Illinois,3
Iowa St.,2
Purdue,2
Connecticut,2
St. Johns',5
Michigan St.,3
Tennessee,6
Alabama,4
Vanderbilt,5
Gonzaga,3
Nebraska,4
Texas Tech,5
Virginia,3
Louisville,6
Arkansas,4
Wisconsin,5
Kansas,4
Iowa,9
Ohio St.,8
UCLA,7
Utah St.,9
North Carolina,6
Saint Mary's,7
Kentucky,7
Santa Clara,10
Miami FL,7
Villanova,8
Brigham Young,6
Clemson,8
Texas,11
Texas A&M,10
Saint Louis,9
N.C. State,11
Georgia,8
Missouri,10
VCU,11
SMU,11
South Florida,11
TCU,9
UCF,10
McNeese St.,12
Akron,12
Northern Iowa,12
High Point,12
Miami OH,11
Hofstra,13
Cal Baptist,13
North Dakota St.,14
Hawaii,13
Wright St.,14
Kennesaw St.,14
Idaho,15
Penn,14
Troy,13
Siena,16
Howard,16
Furman,15
UMBC,16
Queens,15
Tennessee St.,15
LIU,16
Prairie View A&M,16
Lehigh,16
