Team,Seed
Connecticut,4
Alabama,1
Houston,1
UCLA,2
Tennessee,4
Texas,2
Purdue,1
Arizona,2
Gonzaga,3
Saint Mary's,5
San Diego St.,5
Marquette,2
Creighton,6
Kansas,1
Duke,5
Memphis,8
Baylor,3
West Virginia,9
Arkansas,8
Xavier,3
Auburn,9
Florida Atlantic,9
Texas A&M,7
Kansas St.,3
Michigan St.,7
Kentucky,6
Miami FL,5
TCU,6
Iowa St.,6
Utah St.,10
Maryland,8
Northwestern,7
Virginia,4
Indiana,4
Penn St.,10
Iowa,8
Boise St.,10
Southern California,10
N.C. State,11
Illinois,9
Arizona St.,11
Drake,12
Providence,11
VCU,12
Mississippi St.,11
Missouri,7
Iona,13
Charleston,12
Pittsburgh,11
Kent St.,13
Nevada,11
Oral Roberts,12
Louisiana,13
Princeton,15
Furman,13
Vermont,15
Montana St.,14
Colgate,15
Kennesaw St.,14
Grand Canyon,14
UC Santa Barbara,14
Northern Kentucky,16
UNC Asheville,15
Texas A&M Corpus Chris,16
Howard,16
Fairleigh Dickinson,16
Southeast Missouri St.,16
Texas Southern,16
