Team,Seed
Duke,1
Kansas,1
Syracuse,1
Kentucky,1
Ohio St.,2
Kansas St.,2
Baylor,3
West Virginia,2
Wisconsin,4
Purdue,4
Brigham Young,7
Texas A&M,5
California,8
Butler,5
Maryland,4
Georgetown,3
Clemson,7
Xavier,6
Temple,5
Villanova,2
Missouri,10
Texas,8
Michigan St.,5
Utah St.,12
Minnesota,11
Marquette,6
Northern Iowa,9
Washington,11
Oklahoma St.,7
Notre Dame,6
Georgia Tech,10
Florida St.,9
Tennessee,6
Nevada Las Vegas,34
UTEP,12
Pittsburgh,3
Gonzaga,8
Old Dominion,11
Vanderbilt,4
St. Mary's,10
San Diego St.,11
New Mexico,3
Louisville,9
Richmond,7
Cornell,12
Florida,10
Wake Forest,9
Siena,13
Murray St.,13
Wofford,13
Houston,13
Sam Houston St.,14
Ohio,14
New Mexico St.,12
Montana,14
UC Santa Barbara,15
Oakland,14
Vermont,16
East Tennessee St.,16
Morgan St.,15
Lehigh,16
North Texas,15
Robert Morris,15
Winthrop,16
Arkansas Pine Bluff,16
