Team,Seed
Houston,1
Duke,1
Auburn,1
Florida,1
Alabama,2
Tennessee,2
Texas Tech,3
Gonzaga,8
Maryland,4
Arizona,4
Iowa St.,3
Wisconsin,3
Michigan St.,2
Brigham Young,6
Purdue,4
St. John's,2
Kentucky,3
UCLA,7
Illinois,6
Missouri,6
Kansas,7
Michigan,5
Texasm A&M,4
Louisville,8
Mississippi,6
Clemson,5
Saint Mary's,7
Oregon,5
Baylor,9
Marquette,7
Creighton,9
VCU,11
North Carolina,11
Georgia,9
Mississippi St.,8
Connecticut,8
Arkansas,10
Colorado St.,12
Xavier,11
New Mexico,10
Vanderbilt,10
Texas,11
UC San Diego,12
Oklahoma,9
Drake,11
Utah St.,10
McNeese St.,12
San Diego St.,11
Liberty,12
Memphis,5
Yale,13
High Point,13
Grand Canyon,13
Troy,14
Akron,13
Lipscomb,14
UNC Wilmington,14
Nebraska Omaha,15
Montana,14
Robert Morris,15
Wofford,15
Bryant,15
Norfolk St.,16
SIU Edwardsville,16
American,16
Mount St. Mary's,16
Alabama St.,16
Saint Francis,16
